question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
仮説検定における帰無仮説H0の説明として、最も適切なものはどれか。	検定によって積極的に証明したい仮説	差や効果がないと仮定して検討の出発点にする仮説	標本から必ず正しいと判断される仮説	対立仮説が誤りであることを示す仮説	2	帰無仮説H0は、差がない・効果がないなどを仮定し、その仮定のもとでデータがどれほど起こりにくいかを調べる出発点である。	s07_u01,H0,H1,仮説検定	1	1	TRUE
対立仮説H1の説明として、最も適切なものはどれか。	帰無仮説と同じ内容を別の表現で書いたもの	帰無仮説が棄却されたときに支持される方向の仮説	常に「差がない」と表される仮説	有意水準によって自動的に決まる仮説	2	対立仮説H1は、検出したい差・効果・変化の方向や内容を表す。H0が棄却された場合、H1を支持する判断になる。	s07_u01,H0,H1,仮説検定	1	1	TRUE
ある新薬により平均血圧が従来より低下するかを調べたい。このとき適切な対立仮説はどれか。	新薬後の平均血圧は従来と等しい	新薬後の平均血圧は従来と異なる	新薬後の平均血圧は従来より低い	新薬後の平均血圧は従来より高い	3	「低下するか」を調べたいので、対立仮説は平均が従来より小さいという片側の形になる。	s07_u01,対立仮説,片側検定	1	2	TRUE
ある機械の充填量が公称値100gからずれていないかを調べたい。このとき適切な対立仮説はどれか。	母平均は100gである	母平均は100gより大きい	母平均は100gより小さい	母平均は100gではない	4	「ずれていないか」は大きい方向・小さい方向のどちらも問題にするため、対立仮説は母平均が100gではないという両側検定になる。	s07_u01,対立仮説,両側検定	1	2	TRUE
片側検定を選ぶべき状況として、最も適切なものはどれか。	平均が基準値と異なるかだけを調べたい	平均が基準値より大きいか、方向を決めて調べたい	標本サイズが十分に大きいかを調べたい	分散が未知であるかを調べたい	2	片側検定は、基準値より大きい、または小さいという方向を事前に決めて検証する場合に用いる。	s07_u01,片側検定,検定の選択	1	2	TRUE
両側検定を選ぶべき状況として、最も適切なものはどれか。	差の方向を事前に限定せず、基準値からのずれを調べたい	基準値より大きいことだけを調べたい	標本平均を求めるだけでよい	帰無仮説を必ず採択したい	1	両側検定は、大きい方向・小さい方向のどちらのずれも問題にする場合に用いる。	s07_u01,両側検定,検定の選択	1	2	TRUE
有意水準5%で検定を行うという説明として、最も適切なものはどれか。	帰無仮説が正しい確率を5%とする	第1種の過誤を許す上限を5%に設定する	対立仮説が正しい確率を95%とする	標本のうち5%を除外して検定する	2	有意水準は、H0が正しいのに誤って棄却する確率、すなわち第1種の過誤の上限として設定される。	s07_u01,有意水準,第1種の過誤	1	2	TRUE
p値の説明として、最も適切なものはどれか。	帰無仮説が正しい確率	対立仮説が正しい確率	帰無仮説のもとで、観測結果以上に極端な結果が得られる確率	標本平均が母平均と一致する確率	3	p値は、H0が正しいと仮定したときに、観測された統計量と同じかそれ以上に極端な結果が出る確率である。	s07_u01,p値,仮説検定	1	2	TRUE
p値が有意水準αより小さいときの判断として、最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を必ず正しいと判断する	対立仮説を棄却する	検定は実施できない	1	p値が有意水準より小さい場合、H0のもとでは観測結果が十分に起こりにくいと判断し、帰無仮説を棄却する。	s07_u01,p値,有意水準,棄却	1	2	TRUE
帰無仮説を棄却しない場合の表現として、最も適切なものはどれか。	帰無仮説が正しいと証明された	対立仮説が誤りであると証明された	帰無仮説を棄却するだけの十分な証拠がない	検定が失敗したため結論を出してはいけない	3	棄却しないとは、H0が正しいと証明することではなく、H0を退けるほどの証拠が得られなかったという意味である。	s07_u01,棄却しない,結論	1	2	TRUE
第1種の過誤の説明として、最も適切なものはどれか。	正しい帰無仮説を誤って棄却すること	誤った帰無仮説を棄却しないこと	正しい対立仮説を採択すること	標本サイズを誤って設定すること	1	第1種の過誤は、H0が真であるにもかかわらずH0を棄却してしまう誤りである。	s07_u01,第1種の過誤,有意水準	1	1	TRUE
第2種の過誤の説明として、最も適切なものはどれか。	正しい帰無仮説を誤って棄却すること	誤った帰無仮説を棄却しないこと	有意水準を小さくしすぎること	p値を計算できないこと	2	第2種の過誤は、H0が偽であるにもかかわらずH0を棄却しない誤りである。	s07_u01,第2種の過誤,検出力	1	1	TRUE
検出力の説明として、最も適切なものはどれか。	帰無仮説が正しいときに棄却しない確率	帰無仮説が誤っているときに正しく棄却する確率	帰無仮説が正しい確率	有意水準を0に近づける操作	2	検出力は、H0が偽であるときにH0を正しく棄却できる確率であり、1−βで表される。	s07_u01,検出力,第2種の過誤	2	1	TRUE
有意水準を1%に下げることの一般的な影響として、最も適切なものはどれか。	帰無仮説を棄却しやすくなる	帰無仮説を棄却しにくくなる	p値が必ず小さくなる	第1種の過誤が必ず0になる	2	有意水準を小さくすると棄却の基準が厳しくなるため、一般に帰無仮説は棄却されにくくなる。	s07_u01,有意水準,棄却判断	1	2	TRUE
右片側検定の棄却域として、最も適切なものはどれか。	検定統計量が十分に小さい範囲	検定統計量が十分に大きい範囲	検定統計量が0に近い範囲	検定統計量が平均値と一致する範囲	2	右片側検定では、対立仮説が「大きい」方向を表すため、検定統計量が十分に大きい側に棄却域を置く。	s07_u01,右片側検定,棄却域	1	2	TRUE
左片側検定の棄却域として、最も適切なものはどれか。	検定統計量が十分に小さい範囲	検定統計量が十分に大きい範囲	検定統計量が0より必ず大きい範囲	検定統計量が中央値と一致する範囲	1	左片側検定では、対立仮説が「小さい」方向を表すため、検定統計量が十分に小さい側に棄却域を置く。	s07_u01,左片側検定,棄却域	1	2	TRUE
両側検定の棄却域として、最も適切なものはどれか。	検定統計量が中心付近にある範囲	検定統計量が十分に大きい側だけ	検定統計量が十分に小さい側だけ	検定統計量が両端の十分に極端な範囲	4	両側検定では、基準値から大きく外れる両方向を問題にするため、分布の両端に棄却域を置く。	s07_u01,両側検定,棄却域	1	2	TRUE
「H0:μ=50、H1:μ≠50」と設定した検定について、正しい説明はどれか。	母平均が50より大きいことだけを調べる検定である	母平均が50より小さいことだけを調べる検定である	母平均が50からずれているかを調べる両側検定である	母平均が必ず50であることを証明する検定である	3	H1がμ≠50なので、50より大きい場合と小さい場合の両方を含む両側検定である。	s07_u01,H0,H1,両側検定	1	2	TRUE
「H0:μ=50、H1:μ<50」と設定した検定について、正しい説明はどれか。	母平均が50より小さいかを調べる左片側検定である	母平均が50より大きいかを調べる右片側検定である	母平均が50と異なるかを調べる両側検定である	標本平均が必ず50未満になる検定である	1	H1がμ<50なので、母平均が50より小さい方向を調べる左片側検定である。	s07_u01,H0,H1,左片側検定	1	2	TRUE
ある検定でp値が0.08であった。5%有意水準での判断として、最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を棄却しない	対立仮説が正しいと証明する	有意水準を自動的に8%に変更する	2	p値0.08は有意水準0.05より大きいため、5%有意水準では帰無仮説を棄却しない。	s07_u01,p値,棄却判断	1	2	TRUE
ある検定でp値が0.03であった。5%有意水準での判断として、最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を棄却しない	帰無仮説が正しいと判断する	検定の向きを変更する	1	p値0.03は有意水準0.05より小さいため、5%有意水準では帰無仮説を棄却する。	s07_u01,p値,棄却判断	1	2	TRUE
ある広告により購入率が上がったかを調べる検定で、H0:p=p0、H1:p>p0と設定した。この検定について正しいものはどれか。	購入率が下がった可能性も同じ重みで調べる両側検定である	購入率が上がった方向だけを問題にする片側検定である	帰無仮説は購入率が上がったことを表している	対立仮説は購入率が変わらないことを表している	2	H1:p>p0は、購入率が基準より高い方向だけを検出しようとするため、片側検定である。	s07_u01,片側検定,H0,H1	1	3	FALSE
5%有意水準では棄却されたが、1%有意水準では棄却されなかった。このときp値についていえることはどれか。	p値は0.01未満である	p値は0.05より大きい	p値は0.01以上0.05未満である	p値は必ず0.05である	3	5%では棄却され、1%では棄却されないので、p値は0.01以上0.05未満の範囲にある。	s07_u01,p値,有意水準	1	3	FALSE
同じデータで、片側検定では有意、両側検定では有意でないことがある理由として、最も適切なものはどれか。	片側検定では常に帰無仮説が正しいから	両側検定では有意水準を両側に分けて判断するため、同じ方向の極端さでも基準が厳しくなることがあるから	両側検定ではp値を計算しないから	片側検定では標本サイズを2倍にするから	2	両側検定では極端な方向を両側に考えるため、同じ有意水準でも片側検定より棄却しにくくなる場合がある。	s07_u01,片側検定,両側検定,p値	1	3	FALSE
研究を始める前に片側検定か両側検定かを決めておくべき理由として、最も適切なものはどれか。	標本平均を計算しやすくするため	結果を見てから有利な検定を選ぶと、誤った結論を出しやすくなるため	帰無仮説を必ず棄却するため	有意水準を不要にするため	2	結果を見てから検定の向きを選ぶと、都合のよい判断になり、第1種の過誤を増やす危険がある。	s07_u01,片側検定,両側検定,検定計画	1	3	FALSE
