question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
ベルヌーイ試行の説明として最も適切なものはどれか。	結果が3通り以上ある試行	成功・失敗の2通りだけに分類できる試行	必ず成功確率が1/2である試行	同じ結果が必ず交互に出る試行	2	ベルヌーイ試行は、結果を成功・失敗の2通りに分類できる試行である。成功確率は必ずしも1/2ではない。	s04_u02,ベルヌーイ試行,二項分布	1	1	TRUE
ベルヌーイ分布に従う確率変数Xが、成功を1、失敗を0で表すとき、Xがとる値として正しいものはどれか。	0と1	1と2	-1と1	0からnまでの整数	1	ベルヌーイ分布では、1回の試行について成功を1、失敗を0として表す。	s04_u02,ベルヌーイ分布,確率変数	1	1	TRUE
成功確率がpであるベルヌーイ分布の期待値として正しいものはどれか。	1-p	p	p(1-p)	np	2	ベルヌーイ分布では、X=1となる確率がp、X=0となる確率が1-pなので、期待値はpである。	s04_u02,ベルヌーイ分布,期待値	1	1	TRUE
成功確率がpであるベルヌーイ分布の分散として正しいものはどれか。	p	1-p	p(1-p)	np(1-p)	3	ベルヌーイ分布の分散はp(1-p)である。二項分布の分散np(1-p)と区別する。	s04_u02,ベルヌーイ分布,分散	1	2	TRUE
二項分布B(n,p)が表す確率変数として最も適切なものはどれか。	n回の独立なベルヌーイ試行における成功回数	1回の試行で成功するかどうか	連続量として測定される値	成功するまでに必要な試行回数	1	二項分布B(n,p)は、成功確率pのベルヌーイ試行を独立にn回行ったときの成功回数の分布である。	s04_u02,二項分布,成功回数	1	1	TRUE
二項分布B(n,p)に従う確率変数Xがとる値として正しいものはどれか。	0以上1以下の実数	0,1,2,...,n	1,2,...,n	すべての実数	2	二項分布はn回中の成功回数を表すため、Xは0からnまでの整数値をとる。	s04_u02,二項分布,確率変数	1	1	TRUE
二項分布B(n,p)の期待値として正しいものはどれか。	p	1-p	np	np(1-p)	3	二項分布B(n,p)の期待値はnpである。ベルヌーイ分布の期待値pをn回分に拡張したものと考えられる。	s04_u02,二項分布,期待値	1	1	TRUE
二項分布B(n,p)の分散として正しいものはどれか。	p(1-p)	np	np(1-p)	n/p	3	二項分布B(n,p)の分散はnp(1-p)である。	s04_u02,二項分布,分散	1	2	TRUE
1枚の硬貨を5回投げ、表を成功とする。表がちょうど2回出る確率を表す式として正しいものはどれか。	5C2(1/2)^2	5C2(1/2)^2(1/2)^3	(1/2)^2(1/2)^3	5(1/2)^2(1/2)^3	2	二項分布の確率はnCx p^x(1-p)^(n-x)で表される。ここではn=5, x=2, p=1/2である。	s04_u02,二項分布,確率計算	1	2	TRUE
ある製品の不良率が0.1で、10個を独立に調べる。不良品の個数Xの分布として最も適切なものはどれか。	B(10,0.1)	B(0.1,10)	N(10,0.1)	P(0.1)	1	各製品が不良であるかどうかをベルヌーイ試行とみなし、10個中の不良品数を数えるので、Xは二項分布B(10,0.1)に従う。	s04_u02,二項分布,モデル選択	1	2	TRUE
