question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
中心極限定理の説明として、最も適切なものはどれか。	標本サイズが大きいとき、母集団分布に関係なく標本平均の分布は近似的に正規分布に従う	標本サイズが大きいとき、母集団分布そのものが正規分布に変わる	標本サイズが大きいとき、すべての標本値が平均に等しくなる	標本サイズが大きいとき、標本分散は必ず0に近づく	1	中心極限定理は、母集団分布の形にかかわらず、標本サイズが大きいと標本平均の分布が近似的に正規分布に従うという内容である。	s05_u02,中心極限定理,標本平均,正規近似	1	1	TRUE
中心極限定理で正規近似の対象となるものとして、最も適切なものはどれか。	個々の観測値の分布	標本平均の分布	母集団の分布そのもの	外れ値の分布	2	中心極限定理で近似的に正規分布に従うのは、個々の観測値ではなく標本平均の分布である。	s05_u02,中心極限定理,標本平均	1	1	TRUE
母平均μ、母分散σ^2の母集団から大きさnの標本を無作為抽出するとき、標本平均の分布の平均として正しいものはどれか。	μ	σ	σ^2	μ/n	1	標本平均の期待値は母平均μに等しい。中心極限定理による近似でも、中心はμである。	s05_u02,標本平均,期待値,中心極限定理	1	1	TRUE
母平均μ、母分散σ^2の母集団から大きさnの標本を無作為抽出するとき、標本平均の標準誤差として正しいものはどれか。	σ	σ^2/n	σ/√n	μ/√n	3	標本平均の標準偏差、すなわち標準誤差はσ/√nである。	s05_u02,標準誤差,標本平均	1	2	TRUE
標本サイズnを大きくしたとき、標本平均の分布について正しいものはどれか。	分布の中心は母平均から離れていく	標準誤差は大きくなる	標準誤差は小さくなる	標本平均の分布は必ず一様分布になる	3	標本平均の標準誤差はσ/√nであり、nが大きくなるほど小さくなる。	s05_u02,標準誤差,標本サイズ	1	2	TRUE
母分布が大きく右に歪んでいる場合でも、中心極限定理により正規近似が使いやすくなる条件として最も適切なものはどれか。	標本サイズが十分に大きいこと	母平均が0であること	母分散が0であること	標本を1個だけ取ること	1	母分布が正規分布でなくても、標本サイズが十分に大きければ標本平均の分布は近似的に正規分布に近づく。	s05_u02,中心極限定理,歪んだ分布,正規近似	1	2	TRUE
二項分布B(n,p)を正規分布で近似するとき、近似に用いる平均として正しいものはどれか。	p	n	np	np(1-p)	3	二項分布B(n,p)の平均はnpであり、正規近似では平均np、分散np(1-p)の正規分布を用いる。	s05_u02,二項分布,正規近似	1	2	TRUE
二項分布B(n,p)を正規近似するとき、分散として正しいものはどれか。	np	p(1-p)	np(1-p)	n/p	3	二項分布B(n,p)の分散はnp(1-p)である。	s05_u02,二項分布,分散,正規近似	1	2	TRUE
母平均50、母標準偏差10の母集団から大きさ100の標本を抽出する。標本平均の標準誤差はいくらか。	1	10	100	0.1	1	標準誤差はσ/√n=10/√100=1である。	s05_u02,標準誤差,標本平均,計算	1	2	TRUE
母平均50、母標準偏差10の母集団から大きさ100の標本を抽出する。標本平均が52であるとき、標準化した値はいくらか。	0.2	2	5.2	20	2	標本平均の標準誤差は10/√100=1なので、z=(52-50)/1=2である。	s05_u02,標準化,標本平均,中心極限定理	1	2	FALSE
