question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
実験計画における「無作為化」の主な目的として、最も適切なものを選べ。	処理効果を必ず大きくするため	被験者や実験単位の偏りを偶然誤差として扱いやすくするため	標本サイズを小さくするため	分散分析を使わなくてよくするため	2	無作為化は、処理の割り付けに系統的な偏りが入ることを防ぎ、誤差評価を妥当にするための基本原則である。	s08_u03,実験計画,無作為化	1	1	TRUE
フィッシャーの実験計画の三原則に含まれないものを選べ。	無作為化	反復	局所管理	標準化	4	フィッシャーの三原則は、無作為化・反復・局所管理である。標準化は重要な考え方ではあるが、三原則には含まれない。	s08_u03,実験計画,フィッシャー原則	1	1	TRUE
実験計画における「反復」の役割として、最も適切なものを選べ。	誤差分散を推定し、処理効果の検出をしやすくする	群間差を必ずゼロにする	交絡を完全に除去する	対応のあるデータに変換する	1	反復により同じ処理を複数の実験単位に適用し、誤差の大きさを推定できる。これが処理効果の検定の基礎になる。	s08_u03,反復,誤差分散	1	1	TRUE
分散分析で帰無仮説として通常設定されるものを選べ。	すべての群の母平均は等しい	すべての群の標本分散は等しい	少なくとも1つの群の母平均は異なる	群の数は2つである	1	一元配置分散分析の基本的な帰無仮説は、すべての群の母平均が等しいことである。	s08_u03,分散分析,帰無仮説	1	1	TRUE
一元配置分散分析でF値はどのような比として表されるか。	群内平均平方÷群間平均平方	群間平均平方÷群内平均平方	全平方和÷群間平方和	群間平方和÷全平方和	2	F値は、群間平均平方を群内平均平方で割った値である。群間変動が誤差変動に比べて大きいほどF値は大きくなる。	s08_u03,分散分析,F値	1	2	TRUE
分散分析表における「平方和」の分解として、最も適切なものを選べ。	全平方和＝群間平方和＋群内平方和	群内平方和＝全平方和＋群間平方和	群間平方和＝全平方和＋群内平方和	全平方和＝群間平方和−群内平方和	1	一元配置分散分析では、全体の変動を群間変動と群内変動に分解する。したがって全平方和＝群間平方和＋群内平方和である。	s08_u03,分散分析,平方和	1	2	TRUE
群が3つ以上ある平均の比較で、分散分析を使う主な理由として最も適切なものを選べ。	すべての群の中央値を比較できるから	多数のt検定を繰り返すより、第1種の過誤の増加を抑えて平均差を検討できるから	標本サイズが1でも検定できるから	母分散が不明な場合は必ず正確な結論が出るから	2	3群以上でt検定を繰り返すと第1種の過誤が増えやすい。分散分析は全体として平均差があるかを検討する方法である。	s08_u03,分散分析,多群比較	1	2	TRUE
局所管理の説明として、最も適切なものを選べ。	実験単位を似た条件ごとにまとめ、ばらつきの影響を小さくする工夫	すべての実験を同じ時刻に行う義務	処理群の人数を必ず同数にする方法	観測値をすべて標準化してから分析する方法	1	局所管理は、ブロック化などにより実験単位のばらつきを整理し、誤差を小さくして処理効果を見やすくする考え方である。	s08_u03,局所管理,ブロック	1	2	TRUE
分散分析の前提として、通常重視される条件の組合せとして最も適切なものを選べ。	独立性・正規性・等分散性	無相関性・非負性・整数性	単調性・対称性・線形性	外れ値なし・中央値一致・標本数一致	1	分散分析では、観測値の独立性、各群の正規性、群ごとの等分散性が基本的な前提として扱われる。	s08_u03,分散分析,前提条件	2	1	TRUE
分散分析表で、平均平方はどのように求めるか。	平方和を自由度で割る	自由度を平方和で割る	平方和に自由度を掛ける	F値をp値で割る	1	平均平方は、各要因の平方和を対応する自由度で割って求める。F値は群間平均平方を群内平均平方で割って求める。	s08_u03,分散分析,平均平方	1	2	TRUE
一元配置分散分析で、群数が4、全データ数が20のとき、群間の自由度として正しいものを選べ。	3	4	16	19	1	群間の自由度は群数−1である。群数が4なので、4−1＝3である。	s08_u03,分散分析,自由度	1	2	TRUE
一元配置分散分析で、群数が4、全データ数が20のとき、群内の自由度として正しいものを選べ。	3	4	16	19	3	群内の自由度は全データ数−群数である。20−4＝16である。	s08_u03,分散分析,群内変動	1	2	TRUE
分散分析でF値が大きくなる状況として、最も適切なものを選べ。	群間のばらつきが群内のばらつきに比べて大きい	群内のばらつきが群間のばらつきに比べて大きい	すべての観測値が同じである	群数が必ず2である	1	F値は群間平均平方÷群内平均平方である。群間変動が群内変動に比べて大きいほど、平均に差がある可能性を示す。	s08_u03,分散分析,F値	1	2	TRUE
対応のない3群の平均を比較したい。最初に用いる方法として最も適切なものを選べ。	一元配置分散分析	対応のあるt検定	単回帰分析	カイ二乗適合度検定	1	対応のない3群以上の平均を比較する典型的な方法は、一元配置分散分析である。	s08_u03,分散分析,手法選択	1	2	TRUE
実験で処理群と対照群を設ける主な目的として、最も適切なものを選べ。	処理の有無による違いを比較しやすくするため	標本平均を必ず一致させるため	無作為化を不要にするため	外れ値をすべて削除するため	1	対照群は、処理を受けた群との比較基準になる。処理効果を判断するためには、適切な比較対象が必要である。	s08_u03,実験計画,対照群	2	1	TRUE
完全無作為化実験の説明として、最も適切なものを選べ。	すべての実験単位をまとめて、処理へ無作為に割り付ける計画	似た実験単位をブロックに分けてから処理を割り付ける計画	同じ対象を処理前後で測定する計画	観測値を順位に変換して比較する計画	1	完全無作為化実験では、すべての実験単位を一括して処理群に無作為割り付けする。ブロック化を含む場合は乱塊法などになる。	s08_u03,完全無作為化,無作為割付	2	2	FALSE
乱塊法の説明として、最も適切なものを選べ。	似た条件の実験単位をブロックに分け、各ブロック内で処理を比較する方法	すべての観測値を大きい順に並べる方法	処理群を1つだけ設定する方法	群内分散を使わずに平均だけで判断する方法	1	乱塊法は、ブロック内で処理を比較することで、ブロック間のばらつきを分離し、処理効果を見やすくする計画である。	s08_u03,乱塊法,ブロック	2	2	FALSE
一元配置分散分析で有意差が出たときの解釈として、最も適切なものを選べ。	すべての群の平均が互いに異なる	少なくとも1つの群の母平均が他と異なる可能性がある	最大の標本平均をもつ群が必ず原因である	群内分散がゼロである	2	分散分析で帰無仮説を棄却しても、どの群間に差があるかまでは直接わからない。言えるのは少なくとも1つの母平均が異なる可能性である。	s08_u03,分散分析,有意差	1	3	FALSE
分散分析で有意差が出た後に、多重比較を行う目的として最も適切なものを選べ。	どの群間に差があるかを検討するため	分散分析の帰無仮説を消すため	全体の標本サイズを増やすため	等分散性を自動的に満たすため	1	分散分析は全体として平均差があるかを調べる方法であり、どの群間に差があるかは多重比較などで別に検討する必要がある。	s08_u03,分散分析,多重比較	1	3	FALSE
処理A・B・Cを比較する実験で、被験者の年齢層による影響が大きいと考えられる。この影響を抑える計画として最も適切なものを選べ。	年齢層ごとにブロックを作り、その中で処理を割り付ける	年齢を無視して処理Aだけを多く割り付ける	年齢が高い人をすべて除外する	処理後に有意水準を大きくする	1	年齢層のようなばらつき要因がある場合、ブロック化して各ブロック内で処理を割り付けることで、誤差を小さくできる。	s08_u03,局所管理,ブロック化	2	3	FALSE
分散分析の結果、p値が有意水準5%より小さかった。このときの判断として最も適切なものを選べ。	すべての群の母平均が等しいという帰無仮説を棄却する	すべての群の母平均が等しいと確定する	各群の母分散がすべて異なると判断する	標本平均の最大値をもつ群だけが有意であると判断する	1	p値が有意水準より小さい場合、帰無仮説を棄却する。ただし、どの群間に差があるかまではこの結果だけでは判断できない。	s08_u03,分散分析,p値	1	3	FALSE
実験計画で交絡が問題になる理由として、最も適切なものを選べ。	処理効果と別の要因の効果を区別しにくくなるから	標本サイズが必ず大きくなりすぎるから	F値が必ず0になるから	群間平方和が計算できなくなるから	1	交絡があると、観測された差が処理によるものか別の要因によるものか判断しにくくなる。実験計画では無作為化や局所管理で交絡を抑える。	s08_u03,実験計画,交絡	2	3	FALSE
分散分析で等分散性の前提が大きく崩れている場合の注意として、最も適切なものを選べ。	通常のF検定の結果をそのまま信頼しにくくなる	F値は必ず正確になる	p値は常に0.05になる	群平均の比較は数学的に不可能になる	1	分散分析は各群の分散が等しいという前提を置く。等分散性が大きく崩れると、通常のF検定の妥当性に注意が必要である。	s08_u03,分散分析,等分散性	2	3	FALSE
分散分析において、群内変動が表しているものとして最も適切なものを選べ。	同じ群の中での観測値のばらつき	群平均どうしのばらつき	全体平均と0との差	処理数そのもの	1	群内変動は、同じ群の中で観測値がどれだけばらついているかを表す。誤差変動としてF値の分母に用いられる。	s08_u03,分散分析,群内変動	1	1	FALSE
実験で無作為割り付けをしていない観察データから処理効果を主張する際の注意として、最も適切なものを選べ。	交絡の可能性があるため、因果効果として断定しにくい	標本平均が違えば必ず因果効果である	p値が小さければ交絡は存在しない	群数が3以上なら交絡は自動的に消える	1	無作為割り付けがない場合、処理を受けた群と受けていない群の背景が異なる可能性がある。そのため、観測された差を因果効果と断定するには注意が必要である。	s08_u03,無作為割付,交絡	2	3	FALSE
二元配置分散分析で検討できる内容として、最も適切なものを選べ。	2つの要因の主効果や交互作用	1つの母比率の信頼区間	2つの変数の相関係数だけ	単回帰直線の傾きだけ	1	二元配置分散分析では、2つの要因それぞれの主効果に加えて、要因の組合せによる交互作用を検討できる。	s08_u03,二元配置,交互作用	3	3	FALSE
