question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
単回帰モデルy=a+bx+誤差において、bが表すものとして最も適切なものはどれか。	xが1増加したときのyの平均的な増加量	yが1増加したときのxの平均的な増加量	xとyの相関係数そのもの	誤差の標準偏差	1	単回帰の傾きbは、説明変数xが1増加したとき、目的変数yが平均的にどれだけ変化するかを表す。	s08_u01,単回帰,傾き	1	1	TRUE
最小二乗法で最小化している量として最も適切なものはどれか。	残差の和	残差の絶対値の和	残差平方和	目的変数の分散	3	最小二乗法は、観測値と回帰直線による予測値の差である残差を2乗し、その和を最小にする方法である。	s08_u01,最小二乗法,残差平方和	1	1	TRUE
回帰直線による予測値を表す記号として最も適切なものはどれか。	y	x	ŷ	ε	3	ŷは回帰直線によって推定・予測されたyの値を表す。実際の観測値yとの差が残差である。	s08_u01,予測値,記号	2	1	TRUE
残差の説明として最も適切なものはどれか。	説明変数xの平均からの差	観測値yと予測値ŷの差	相関係数を2乗した値	回帰係数の標準誤差	2	残差は、観測されたyと回帰式から得られる予測値ŷとの差であり、通常y-ŷで表す。	s08_u01,残差,予測	1	1	TRUE
決定係数R²の説明として最も適切なものはどれか。	回帰直線の傾きを表す値	説明変数によって目的変数の変動がどの程度説明されるかを表す値	残差が必ず0になる程度を表す値	xとyの単位をそろえるための値	2	決定係数R²は、目的変数yの変動のうち、回帰モデルで説明できる割合を表す。	s08_u01,決定係数,R2	1	1	TRUE
相関係数rが0.8である単回帰において、決定係数R²はいくらか。	0.16	0.4	0.64	0.8	3	単回帰では決定係数R²は相関係数rの2乗に等しい。0.8²=0.64である。	s08_u01,相関係数,R2	1	2	TRUE
回帰直線y=2+3xにおいて、x=4のときの予測値ŷはいくらか。	9	12	14	17	3	回帰式にx=4を代入すると、ŷ=2+3×4=14となる。	s08_u01,回帰式,予測	1	2	TRUE
回帰直線y=5-2xの解釈として最も適切なものはどれか。	xが1増えるとyは平均的に2増える	xが1増えるとyは平均的に2減る	xが2増えるとyは必ず5になる	xとyには相関がない	2	傾きが-2なので、xが1増加するとyは平均的に2減少すると解釈する。	s08_u01,傾き,解釈	1	2	TRUE
R²=0.75である回帰モデルについて、最も適切な解釈はどれか。	75%の観測値が回帰直線上にある	目的変数の変動の約75%が説明変数で説明される	説明変数と目的変数の相関係数が0.75である	予測値は必ず観測値の75%になる	2	R²=0.75は、目的変数の変動の約75%を回帰モデルが説明していることを意味する。観測値が直線上にある割合ではない。	s08_u01,R2,解釈	1	2	TRUE
回帰直線は必ず通る点として最も適切なものはどれか。	原点(0,0)	xの最大値とyの最大値の点	平均の点(x̄,ȳ)	残差が最大となる点	3	最小二乗法で求めた単回帰の回帰直線は、説明変数と目的変数の平均の点(x̄,ȳ)を通る。	s08_u01,回帰直線,平均点	1	2	TRUE
単回帰分析で注意すべき解釈として最も適切なものはどれか。	相関が高ければ必ず因果関係がある	R²が高ければ予測に誤差はない	回帰式は観測されたデータ範囲を大きく外れて使うと危険である	傾きが正ならすべてのデータが右上がりに並ぶ	3	回帰式を観測範囲から大きく外れた値に用いる外挿は、妥当性が低くなることがある。	s08_u01,外挿,回帰の注意	2	3	FALSE
残差平方和が小さい回帰直線について、最も適切な説明はどれか。	すべての残差が正である	観測値と予測値のずれが全体として小さい	相関係数が必ず1である	傾きが必ず正である	2	残差平方和は残差を2乗して合計したものなので、小さいほど観測値と予測値のずれが全体として小さいといえる。	s08_u01,残差平方和,最小二乗	1	2	FALSE
単回帰でR²=0となる場合の説明として最も適切なものはどれか。	すべての観測値が回帰直線上にある	説明変数xで目的変数yの変動を説明できていない	回帰直線の切片が0である	残差がすべて0である	2	R²=0は、回帰モデルが目的変数の変動を説明できていないことを表す。単回帰では相関係数が0の場合に対応する。	s08_u01,R2,説明力	1	2	FALSE
単回帰でR²=1となる場合の説明として最も適切なものはどれか。	xとyの相関がない	すべての観測値が回帰直線上にある	傾きが必ず1である	切片が必ず0である	2	R²=1は、目的変数の変動が回帰直線で完全に説明される状態であり、単回帰ではすべての点が直線上にある。	s08_u01,R2,完全説明	1	2	FALSE
回帰直線y=10+0.5xにおいて、x=20の観測値yが25だった。このときの残差y-ŷはいくらか。	5	10	15	20	1	予測値はŷ=10+0.5×20=20である。残差はy-ŷ=25-20=5となる。	s08_u01,残差,予測値	1	2	FALSE
相関係数r=-0.6の単回帰における決定係数R²として正しいものはどれか。	-0.36	-0.6	0.36	0.6	3	単回帰ではR²=r²である。r=-0.6なので、R²=(-0.6)²=0.36となる。決定係数は負にならない。	s08_u01,相関係数,R2	1	2	FALSE
回帰係数の傾きが正であるにもかかわらず、あるデータではxが大きい点のyが小さいことがある。この説明として最も適切なものはどれか。	傾きが正ならそのような点は存在しない	回帰直線は平均的な傾向を表すので、個々の点は直線からずれることがある	R²が必ず0である	残差平方和が定義できない	2	回帰直線は全体の平均的な傾向を表す。傾きが正でも、残差により個々の観測点が完全に右上がりに並ぶとは限らない。	s08_u01,傾き,残差	1	3	FALSE
R²が高い回帰分析について、因果関係の判断として最も適切なものはどれか。	R²が高ければ必ず因果関係がある	R²が高くても、それだけでは因果関係があるとはいえない	R²が高ければ交絡は存在しない	R²が高ければ実験計画は不要である	2	R²は説明力の指標であり、因果関係を直接示すものではない。因果関係の判断には研究設計や交絡の検討が必要である。	s08_u01,R2,因果	1	3	FALSE
身長から体重を予測する回帰式を、小学生のデータだけで作った。この式を成人にそのまま使うことへの評価として最も適切なものはどれか。	同じ身長なら年齢に関係なく必ず正確に予測できる	観測範囲や集団が異なるため、外挿・一般化に注意が必要である	R²が計算できれば問題ない	傾きが正なら成人にも必ず適用できる	2	回帰式は、作成に用いたデータの範囲や集団に依存する。小学生データから得た式を成人に使う場合、外挿や母集団の違いに注意が必要である。	s08_u01,外挿,一般化	2	3	FALSE
広告費xと売上yの回帰で正の傾きが得られた。この結果の解釈として最も慎重で適切なものはどれか。	広告費を増やせば必ず売上が増える	広告費が大きいほど売上が高い傾向はあるが、因果関係はこの分析だけでは断定できない	売上が広告費を完全に決めている	残差はすべて0である	2	観察データの単回帰では、正の関係が見られても因果関係は断定できない。需要規模などの交絡要因が関係している可能性がある。	s08_u01,回帰解釈,因果	2	3	FALSE
