question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
確率変数の説明として最も適切なものはどれか。	試行の結果に応じて数値が定まる変数	必ず一定の値をとる定数	平均値だけで決まる数値	標本数を表す記号	1	確率変数は、偶然試行の結果に対応して数値をとる変数である。	s04_u01,確率変数,定義	1	1	TRUE
サイコロを1回投げ、出た目をXとする。このときXは何か。	母平均	確率変数	標本分散	相関係数	2	出た目は試行結果によって変わる数値なので、Xは確率変数である。	s04_u01,確率変数,サイコロ	1	1	TRUE
離散型確率変数Xの期待値E(X)を表す式として正しいものはどれか。	ΣxP(X=x)	ΣP(X=x)	Σx	Σx²	1	離散型確率変数の期待値は、各値xにその確率を掛けて合計したものである。	s04_u01,期待値,離散型	1	1	TRUE
確率変数Xが1,2,3をそれぞれ確率1/3でとるとき、E(X)はいくつか。	1	2	3	6	2	E(X)=1×1/3+2×1/3+3×1/3=2である。	s04_u01,期待値,計算	1	2	TRUE
確率変数Xの分散V(X)の説明として最も適切なものはどれか。	Xの値の中心の位置を表す量	Xの値のばらつきの大きさを表す量	Xの最大値を表す量	Xの確率の合計を表す量	2	分散は、確率変数の値が期待値のまわりにどの程度ばらつくかを表す。	s04_u01,分散,定義	1	1	TRUE
確率変数Xについて、V(X)=E(X²)-{E(X)}²である。この式の説明として正しいものはどれか。	分散を期待値から求める公式である	期待値を分散から求める公式である	標準偏差を直接求める公式である	確率の合計を求める公式である	1	分散は、2乗の期待値から期待値の2乗を引いて求められる。	s04_u01,分散,公式	1	2	TRUE
確率変数Xに対して、E(3X+2)として正しいものはどれか。	3E(X)+2	3E(X)²+2	E(X)+5	9E(X)+4	1	期待値には線形性があり、E(aX+b)=aE(X)+bである。	s04_u01,期待値,線形性	1	2	TRUE
確率変数Xに対して、V(3X+2)として正しいものはどれか。	3V(X)+2	9V(X)	3V(X)	9V(X)+2	2	分散では定数倍は2乗され、加法定数は影響しない。したがってV(3X+2)=9V(X)である。	s04_u01,分散,線形変換	1	2	TRUE
標準偏差が2である確率変数Xについて、V(X)はいくつか。	2	4	√2	1/2	2	標準偏差は分散の正の平方根である。標準偏差が2なら分散は2²=4である。	s04_u01,標準偏差,分散	1	2	TRUE
確率変数XについてE(X)=5のとき、E(X-5)はいくつか。	0	5	10	25	1	期待値の線形性より、E(X-5)=E(X)-5=0である。	s04_u01,期待値,線形性	1	2	TRUE
E(X+Y)=E(X)+E(Y)について正しい説明はどれか。	XとYが独立なときだけ成り立つ	XとYが同じ分布のときだけ成り立つ	XとYの独立性に関係なく成り立つ	XとYが正規分布のときだけ成り立つ	3	期待値の加法性は、独立性に関係なく成り立つ重要な性質である。	s04_u01,期待値,加法性	1	3	FALSE
V(X+Y)=V(X)+V(Y)が成り立つ条件として最も適切なものはどれか。	XとYが独立である	XとYの期待値が等しい	XとYの分散が等しい	XとYが同じ値をとる	1	分散の加法性は一般には成り立たず、独立な確率変数ではV(X+Y)=V(X)+V(Y)となる。	s04_u01,分散,独立性	1	3	FALSE
確率変数XについてV(X)=4のとき、V(X+10)はいくつか。	4	14	40	104	1	分散は加法定数の影響を受けない。したがってV(X+10)=V(X)=4である。	s04_u01,分散,平行移動	1	2	FALSE
確率変数XについてV(X)=4のとき、V(2X)はいくつか。	4	8	16	2	3	分散では定数倍が2乗される。V(2X)=2²V(X)=4×4=16である。	s04_u01,分散,定数倍	1	2	FALSE
確率変数Xが0を確率0.7、1を確率0.3でとるとき、E(X)はいくつか。	0.3	0.7	1	0.21	1	E(X)=0×0.7+1×0.3=0.3である。	s04_u01,ベルヌーイ型,期待値	2	2	FALSE
確率変数Xが0を確率0.7、1を確率0.3でとるとき、V(X)はいくつか。	0.09	0.21	0.3	0.49	2	E(X)=0.3、E(X²)=0²×0.7+1²×0.3=0.3より、V(X)=0.3-0.3²=0.21である。	s04_u01,ベルヌーイ型,分散	2	2	FALSE
確率変数XについてE(X)=2、V(X)=3のとき、E(4X-1)はいくつか。	7	8	9	11	1	E(4X-1)=4E(X)-1=4×2-1=7である。	s04_u01,期待値,線形変換	1	2	FALSE
確率変数XについてE(X)=2、V(X)=3のとき、V(4X-1)はいくつか。	11	12	47	48	4	V(4X-1)=4²V(X)=16×3=48である。加法定数-1は分散に影響しない。	s04_u01,分散,線形変換	1	2	FALSE
2つの確率変数X,Yについて、V(X+Y)=V(X)+V(Y)+2Cov(X,Y)である。この式からいえることとして最も適切なものはどれか。	共分散が0なら分散は加法的になる	期待値が等しければ分散は加法的になる	分散が等しければ共分散は0になる	XとYが同じ分布なら分散は加法的になる	1	一般にV(X+Y)=V(X)+V(Y)+2Cov(X,Y)であり、共分散が0なら加法的になる。独立なら共分散は0である。	s04_u01,分散,共分散	1	3	FALSE
独立な確率変数X,YについてE(X)=3、E(Y)=4のとき、E(2X+Y)はいくつか。	7	10	14	24	2	期待値の線形性より、独立性に関係なくE(2X+Y)=2E(X)+E(Y)=2×3+4=10である。	s04_u01,期待値,複数変数	1	2	FALSE
独立な確率変数X,YについてV(X)=2、V(Y)=5のとき、V(3X-Y)はいくつか。	7	11	13	23	4	独立なのでV(3X-Y)=V(3X)+V(-Y)=9V(X)+V(Y)=18+5=23である。	s04_u01,分散,独立,複数変数	1	3	FALSE
確率変数Xを標準化してZ=(X-μ)/σとする。ただしE(X)=μ、V(X)=σ²である。このときE(Z)とV(Z)の組合せとして正しいものはどれか。	E(Z)=0、V(Z)=1	E(Z)=μ、V(Z)=σ²	E(Z)=1、V(Z)=0	E(Z)=σ、V(Z)=μ	1	E(Z)=(E(X)-μ)/σ=0、V(Z)=V(X/σ)=σ²/σ²=1である。	s04_u01,標準化,期待値,分散	1	3	FALSE
