question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
確率の値として取りうる範囲として正しいものはどれか。	0以上1以下	1以上100以下	-1以上1以下	0より大きく1未満	1	確率は0以上1以下の値をとる。0は起こらない事象、1は必ず起こる事象を表す。	s03_u01,確率の基本,確率の範囲	1	1	TRUE
標本空間とは何を表すか。	起こりうる結果全体の集合	実際に起こった結果だけの集合	最も起こりやすい結果の集合	確率が等しい結果だけの集合	1	標本空間は、試行によって起こりうるすべての結果を集めた集合である。	s03_u01,標本空間,確率の基本	1	1	TRUE
事象Aが起こる確率をP(A)とする。Aが起こらない確率を表す式として正しいものはどれか。	1-P(A)	P(A)-1	P(A)+1	1/P(A)	1	Aが起こらない事象はAの余事象であり、その確率は1-P(A)で表される。	s03_u01,余事象,確率の基本	1	1	TRUE
1個のさいころを1回投げる。3以下の目が出る確率として正しいものはどれか。	1/6	1/3	1/2	2/3	3	3以下の目は1,2,3の3通りで、全体は6通りなので、確率は3/6=1/2である。	s03_u01,さいころ,基本計算	1	2	TRUE
1枚の硬貨を2回投げる。少なくとも1回表が出る確率として正しいものはどれか。	1/4	1/2	3/4	1	3	少なくとも1回表が出る確率は、1回も表が出ない確率1/4を1から引いて3/4である。	s03_u01,余事象,硬貨	1	2	TRUE
事象Aと事象Bが同時に起こらないとき、AとBの関係として正しいものはどれか。	独立である	排反である	同様に確からしい	余事象である	2	2つの事象が同時に起こらないとき、それらは排反であるという。	s03_u01,排反,加法定理	1	1	TRUE
排反な2つの事象A,Bについて、P(A∪B)を表す式として正しいものはどれか。	P(A)+P(B)	P(A)P(B)	P(A)+P(B)-P(A∩B)	P(A)-P(B)	1	AとBが排反ならP(A∩B)=0であるため、P(A∪B)=P(A)+P(B)となる。	s03_u01,加法定理,排反	1	2	TRUE
一般に、2つの事象A,BについてP(A∪B)を表す式として正しいものはどれか。	P(A)+P(B)	P(A)P(B)	P(A)+P(B)-P(A∩B)	P(A∩B)-P(A)-P(B)	3	AとBが重なる部分を二重に数えているため、一般にはP(A∪B)=P(A)+P(B)-P(A∩B)である。	s03_u01,加法定理,和事象	1	2	FALSE
事象AとBが独立であるとき、P(A∩B)を表す式として正しいものはどれか。	P(A)+P(B)	P(A)P(B)	P(A)-P(B)	P(A)+P(B)-1	2	AとBが独立であるとき、一方が起こることは他方の確率に影響しない。このときP(A∩B)=P(A)P(B)である。	s03_u01,独立,乗法定理	1	2	FALSE
1枚の硬貨を2回投げる。2回とも表が出る確率として正しいものはどれか。	1/2	1/3	1/4	3/4	3	1回目に表が出る確率は1/2、2回目も1/2である。独立な試行なので、1/2×1/2=1/4である。	s03_u01,乗法定理,硬貨	1	2	FALSE
ある事象Aについて、P(A)=0.7である。Aの余事象の確率として正しいものはどれか。	0.2	0.3	0.7	1.7	2	余事象の確率は1-P(A)である。したがって1-0.7=0.3である。	s03_u01,余事象,基本計算	1	1	TRUE
事象AとBが独立であることの説明として最も適切なものはどれか。	AとBが同時に起こらないこと	Aが起こることがBの起こる確率に影響しないこと	AとBの確率が等しいこと	AとBのどちらか一方だけが必ず起こること	2	独立とは、一方の事象が起こったという情報が、他方の事象の確率を変えない関係である。排反とは異なる。	s03_u01,独立,確率の意味	1	1	TRUE
ある試行で、P(A)=0.4、P(B)=0.5、P(A∩B)=0.2である。P(A∪B)として正しいものはどれか。	0.2	0.7	0.9	1.1	2	加法定理より、P(A∪B)=0.4+0.5-0.2=0.7である。	s03_u01,加法定理,計算	1	2	FALSE
1個のさいころを1回投げる。偶数の目が出る事象Aと、3以上の目が出る事象Bについて、P(A∩B)として正しいものはどれか。	1/6	1/3	1/2	2/3	2	A={2,4,6}、B={3,4,5,6}なので、A∩B={4,6}である。したがって確率は2/6=1/3である。	s03_u01,積事象,さいころ	1	2	FALSE
2つの事象A,Bについて、P(A)=0.6、P(B)=0.3、P(A∩B)=0である。このときAとBについて正しいものはどれか。	AとBは排反である	AとBは必ず独立である	AはBの余事象である	AとBは同じ事象である	1	P(A∩B)=0より、AとBは同時に起こらないため排反である。ただし一般に、排反と独立は別概念である。	s03_u01,排反,積事象	1	3	FALSE
1個のさいころを2回投げる。少なくとも1回6が出る確率として正しいものはどれか。	1/6	11/36	25/36	35/36	2	少なくとも1回6が出る確率は、1から2回とも6が出ない確率を引く。1-(5/6)^2=11/36である。	s03_u01,余事象,さいころ	1	3	FALSE
2つの事象A,Bについて、P(A)=0.5、P(B)=0.4、P(A∩B)=0.2である。このときAとBについて正しいものはどれか。	排反であり、独立でもある	排反ではないが、独立である	排反であるが、独立ではない	排反でも独立でもない	2	P(A∩B)=0.2で0ではないため排反ではない。またP(A)P(B)=0.5×0.4=0.2なので独立である。	s03_u01,独立,排反,判断	1	3	FALSE
2つの事象A,Bについて、P(A)=0.5、P(B)=0.4、P(A∩B)=0である。このときAとBについて正しいものはどれか。	排反であり、独立でもある	排反ではないが、独立である	排反であるが、独立ではない	排反でも独立でもない	3	P(A∩B)=0なので排反である。一方、P(A)P(B)=0.2であり、P(A∩B)と等しくないため独立ではない。	s03_u01,排反,独立,判断	1	3	FALSE
1から10までの整数から1つを無作為に選ぶ。偶数である事象Aと、5以上である事象Bについて、P(A∪B)として正しいものはどれか。	3/10	5/10	7/10	9/10	3	A={2,4,6,8,10}、B={5,6,7,8,9,10}、A∩B={6,8,10}である。A∪Bは7個なので、確率は7/10である。	s03_u01,和事象,加法定理	2	3	FALSE
1から10までの整数から1つを無作為に選ぶ。3の倍数である事象Aと、偶数である事象Bについて、AとBの関係として正しいものはどれか。	排反である	独立である	余事象である	排反でも独立でもない	4	A={3,6,9}、B={2,4,6,8,10}で、A∩B={6}だから排反ではない。またP(A∩B)=1/10、P(A)P(B)=3/20で等しくないため独立でもない。	s03_u01,独立,排反,判断	2	3	FALSE
