question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
単回帰モデルy=β0+β1x+εにおいて、回帰係数β1が表すものとして最も適切なものはどれか。	xが1単位増加したときのyの平均的な変化量	yが1単位増加したときのxの平均的な変化量	xとyの相関係数そのもの	誤差項の分散	1	β1は説明変数xが1単位増加したとき、目的変数yの条件付き平均がどれだけ変化するかを表す。	s08_u02,回帰係数,解釈	1	1	TRUE
回帰出力における切片の推定値が5.0、説明変数xの係数の推定値が2.0である。x=3のときの予測値はいくらか。	6	7	11	15	3	予測値は5.0+2.0×3=11.0である。	s08_u02,予測,回帰係数	1	2	TRUE
回帰係数のt値は、一般にどのように計算されるか。	推定値÷標準誤差	標準誤差÷推定値	推定値×標準誤差	決定係数÷自由度	1	回帰係数のt値は、係数推定値をその標準誤差で割った値である。	s08_u02,t値,標準誤差	1	1	TRUE
ある説明変数の係数について、p値が0.03であった。有意水準5%での判断として最も適切なものはどれか。	係数は必ず大きな実質的効果をもつ	係数が0であるという帰無仮説を棄却する	モデル全体が必ず正しいと判断する	説明変数と目的変数に因果関係があると判断する	2	p値0.03は5%より小さいため、係数が0であるという帰無仮説を棄却する。ただし実質的効果や因果関係までは直ちに言えない。	s08_u02,p値,仮説検定	1	2	TRUE
回帰出力で、係数の標準誤差が大きい場合に一般に起こりやすいこととして最も適切なものはどれか。	t値の絶対値が小さくなりやすい	決定係数が必ず1に近づく	残差平方和が必ず0になる	係数の推定値が必ず0になる	1	t値は推定値を標準誤差で割るため、標準誤差が大きいとt値の絶対値は小さくなりやすい。	s08_u02,標準誤差,t値	1	2	TRUE
決定係数R²の説明として最も適切なものはどれか。	目的変数の変動のうち、モデルで説明された割合	説明変数の個数そのもの	回帰係数が有意である確率	残差の平均値	1	R²は目的変数の全変動のうち、回帰モデルによって説明された変動の割合を表す。	s08_u02,決定係数,モデル適合	1	1	TRUE
回帰出力における「Estimate」は何を表すか。	母回帰係数そのものの真の値	データから推定された回帰係数の値	説明変数の標準偏差	目的変数の平均値	2	Estimateは標本データに基づいて推定された回帰係数の値である。真の母回帰係数そのものではない。	s08_u02,推定値,回帰出力	1	1	TRUE
回帰係数の95%信頼区間が[-0.5,2.1]であった。この結果から有意水準5%の両側検定についていえることとして最も適切なものはどれか。	係数は5%水準で有意である	係数は5%水準で有意とはいえない	係数は必ず正である	決定係数は0.95である	2	95%信頼区間に0を含むため、係数が0であるという帰無仮説は5%水準の両側検定では棄却できない。	s08_u02,信頼区間,p値	1	2	TRUE
説明変数xの係数が-3.0で、p値が0.01であった。最も適切な解釈はどれか。	xが1単位増えると、yは平均的に3.0増える傾向があり、5%水準で有意である	xが1単位増えると、yは平均的に3.0減る傾向があり、5%水準で有意である	xとyには必ず因果関係がある	xの値は平均的に3.0減る	2	係数が-3.0なので、xが1単位増えるとyは平均的に3.0減る。p値0.01は5%より小さいため統計的に有意である。	s08_u02,回帰係数,p値	1	2	TRUE
p値の説明として最も適切なものはどれか。	帰無仮説が正しい確率	対立仮説が正しい確率	帰無仮説が正しいと仮定したとき、観測された結果以上に極端な結果が得られる確率	回帰係数の大きさそのもの	3	p値は、帰無仮説が正しいと仮定したもとで、観測結果以上に極端な統計量が得られる確率である。	s08_u02,p値,定義	1	1	TRUE
