question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
ベイズの定理を用いる典型場面として、最も適切なものはどれか。	事象AとBが同時に起こる確率から、AまたはBが起こる確率を求める	原因が複数考えられるとき、結果が観測された後に原因の確率を更新する	同じ試行を多数回繰り返したときの相対度数を求める	排反事象の確率を足し合わせる	2	ベイズの定理は、観測された結果をもとに原因や仮説の確率を更新する場面で用いられる。	s03_u03,ベイズの定理,条件付き確率	1	1	TRUE
事象Aが原因、事象Bが結果を表すとき、P(A|B)の意味として最も適切なものはどれか。	Aが起こったときにBが起こる確率	Bが起こったときにAが起こっていた確率	AとBが同時に起こらない確率	AまたはBが起こる確率	2	P(A|B)は、Bが起こったという条件のもとでAが起こる確率を表す。ベイズの定理ではこの向きを正しく読むことが重要である。	s03_u03,条件付き確率,記号理解	1	1	TRUE
ベイズの定理P(A|B)=P(B|A)P(A)/P(B)において、P(A)は一般に何と呼ばれるか。	事後確率	尤度	事前確率	周辺確率	3	P(A)は結果Bを観測する前のAの確率であり、事前確率と呼ばれる。	s03_u03,ベイズの定理,事前確率	1	1	TRUE
ある病気の有病率が1%、病気の人が陽性になる確率が90%、病気でない人が陽性になる確率が10%である。陽性となる確率P(陽性)として正しい式はどれか。	0.90×0.01	0.90×0.01+0.10×0.99	0.90×0.99+0.10×0.01	0.10×0.01+0.90×0.99	2	陽性になる確率は、病気で陽性になる場合と病気でなく陽性になる場合の和である。全確率の公式を使う。	s03_u03,全確率,検査問題	1	2	TRUE
ある検査で、病気の人が陽性になる確率が0.8、病気でない人が陽性になる確率が0.2、有病率が0.1である。陽性者が病気である確率を求める式として正しいものはどれか。	0.8×0.1/(0.8×0.1+0.2×0.9)	0.8×0.1/(0.8×0.1+0.2×0.1)	0.2×0.9/(0.8×0.1+0.2×0.9)	0.8×0.9/(0.8×0.9+0.2×0.1)	1	求めたいのはP(病気|陽性)である。分子は病気かつ陽性、分母は陽性全体の確率である。	s03_u03,ベイズの定理,検査問題	1	2	TRUE
袋Aには赤玉3個・白玉1個、袋Bには赤玉1個・白玉3個が入っている。袋を等確率で1つ選び、赤玉が出た。選んだ袋がAである確率を求めるとき、分母に入る量はどれか。	P(赤|A)のみ	P(A)のみ	P(赤|A)P(A)+P(赤|B)P(B)	P(A|赤)+P(B|赤)	3	分母は赤玉が出る全体の確率である。どの袋から赤玉が出るかを場合分けして足し合わせる。	s03_u03,ベイズの定理,袋問題	1	2	TRUE
ベイズの定理を使うとき、最初に確認すべきこととして最も適切なものはどれか。	選択肢の数が4つあるかどうか	求めたい確率がP(原因|結果)の形になっているか	2つの事象が必ず排反であるか	標本平均が与えられているか	2	ベイズの定理では、結果が分かった後に原因の確率を求める形になっているかを確認することが重要である。	s03_u03,ベイズの定理,判断手順	1	1	TRUE
ある製品は工場Aで60%、工場Bで40%作られる。Aの不良率は2%、Bの不良率は5%である。不良品が見つかったとき、それがA製である確率を求める際の分子はどれか。	0.60×0.02	0.40×0.05	0.60+0.02	0.02/(0.02+0.05)	1	求めたいのはP(A|不良)であり、分子はA製かつ不良である確率P(不良|A)P(A)である。	s03_u03,ベイズの定理,不良品問題	1	2	TRUE
ベイズの定理の計算で、分母を求めるときに必要な考え方として最も適切なものはどれか。	余事象だけを考える	結果が起こるすべての場合を足し合わせる	原因の確率だけを足し合わせる	条件付き確率を無視する	2	分母は観測された結果が起こる確率である。原因ごとに場合分けし、それぞれの同時確率を足し合わせる。	s03_u03,全確率,分母の意味	1	2	TRUE
ある検査で、P(陽性|病気)=0.95であることだけが分かっている。この情報だけから判断できることとして最も適切なものはどれか。	陽性者の95%が病気である	病気の人の95%が陽性になる	病気でない人の95%が陰性になる	有病率は95%である	2	P(陽性|病気)は、病気の人を条件とした陽性の確率である。P(病気|陽性)とは向きが逆であり、混同しやすい。	s03_u03,条件付き確率,感度	1	3	FALSE
