question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
条件付き確率P(A|B)の意味として最も適切なものはどれか。	Aが起こったときにBが起こる確率	Bが起こったという条件のもとでAが起こる確率	AとBが同時に起こらない確率	AまたはBが起こる確率	2	P(A|B)は、Bが起こったという条件のもとでAが起こる確率を表す。条件の向きを正しく読むことが重要である。	s03_u02,条件付き確率,定義	1	1	TRUE
条件付き確率の公式として正しいものはどれか。ただしP(B)>0とする。	P(A|B)=P(A∩B)/P(B)	P(A|B)=P(A∪B)/P(B)	P(A|B)=P(A)P(B)	P(A|B)=P(B)/P(A∩B)	1	条件付き確率は、条件となる事象Bの中でAも起こる割合なので、P(A|B)=P(A∩B)/P(B)である。	s03_u02,条件付き確率,公式	1	1	TRUE
P(A∩B)=0.12、P(B)=0.30のとき、P(A|B)はどれか。	0.04	0.12	0.4	2.5	3	P(A|B)=P(A∩B)/P(B)=0.12/0.30=0.40である。	s03_u02,条件付き確率,計算	1	2	TRUE
2つの事象A,Bが独立であるとき、成り立つ関係として最も適切なものはどれか。	P(A|B)=P(A)	P(A|B)=P(B)	P(A∩B)=P(A)+P(B)	P(A∪B)=0	1	AとBが独立なら、Bが起こったことによってAの確率は変わらないため、P(A|B)=P(A)となる。	s03_u02,独立,定義	1	1	TRUE
P(A)=0.5、P(B)=0.4、P(A∩B)=0.2のとき、AとBの関係として最も適切なものはどれか。	独立である	排反である	必ず同時に起こる	互いに余事象である	1	P(A)P(B)=0.5×0.4=0.2であり、P(A∩B)と一致するので独立である。	s03_u02,独立,積の法則	1	2	TRUE
事象AとBが排反であることの意味として最も適切なものはどれか。	AとBが同時に起こらない	Aが起こるとBも必ず起こる	AとBが独立である	AとBの確率が等しい	1	排反とは、AとBが同時に起こらないこと、つまりP(A∩B)=0を意味する。	s03_u02,排反,条件付き確率	2	1	TRUE
ある袋から1枚カードを引く。Bを「赤いカードを引く」、Aを「ハートを引く」とする。P(A|B)が表す内容として最も適切なものはどれか。	赤いカードの中でハートである確率	ハートの中で赤いカードである確率	赤いカードまたはハートである確率	赤いカードでもハートでもない確率	1	P(A|B)は、Bが起こった条件のもとでAが起こる確率なので、赤いカードの中でハートである確率を表す。	s03_u02,条件付き確率,読解	1	2	TRUE
独立な2つの事象A,Bについて、P(A)=0.7、P(B)=0.2のとき、P(A∩B)はどれか。	0.14	0.5	0.7	0.9	1	独立ならP(A∩B)=P(A)P(B)=0.7×0.2=0.14である。	s03_u02,独立,積の法則	1	2	TRUE
次のうち、条件付き確率を使って考える場面として最も適切なものはどれか。	全体の中でAが起こる割合だけを求める場面	Bが起こった対象に限定してAが起こる割合を求める場面	AとBが同時に絶対起こらないことを示す場面	AもBも起こらない確率だけを求める場面	2	条件付き確率は、ある条件を満たす対象に限定したうえで確率を考える場面で使う。	s03_u02,条件付き確率,場面判断	2	1	TRUE
P(A|B)=0.25、P(B)=0.40のとき、P(A∩B)はどれか。	0.1	0.15	0.25	0.65	1	P(A|B)=P(A∩B)/P(B)より、P(A∩B)=0.25×0.40=0.10である。	s03_u02,条件付き確率,逆算	1	2	FALSE
独立な2つの事象A,Bについて、P(A)=0.3、P(B)=0.8のとき、P(A∪B)はどれか。	0.24	0.86	1.1	0.5	2	独立よりP(A∩B)=0.3×0.8=0.24。したがってP(A∪B)=0.3+0.8-0.24=0.86である。	s03_u02,独立,和事象	1	2	FALSE
