question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
母平均の信頼区間を作るとき、母分散が既知である場合に用いる分布として最も適切なものはどれか。	標準正規分布	t分布	χ²分布	F分布	1	母分散が既知なら標準化統計量が標準正規分布に従うため、標準正規分布を用いる。	s06_u02,母平均,信頼区間	1	1	TRUE
母平均の信頼区間を作るとき、母分散が未知で標本サイズが小さい場合に用いる分布として最も適切なものはどれか。	標準正規分布	t分布	χ²分布	二項分布	2	母分散が未知の場合、標本標準偏差を用いて標準化するため、通常はt分布を用いる。	s06_u02,母平均,t分布	1	1	TRUE
母比率の信頼区間で標準誤差として通常用いる形はどれか。	√{p(1-p)/n}	p(1-p)/n	√{np(1-p)}	p/n	1	母比率の推定では、標本比率pを用いて標準誤差を√{p(1-p)/n}と近似する。	s06_u02,母比率,標準誤差	1	2	TRUE
標本サイズnを大きくすると、他の条件が同じなら信頼区間の幅はどうなるか。	狭くなる	広くなる	必ず0になる	変化しない	1	標準誤差は多くの場合1/√nに比例するため、標本サイズが大きいほど信頼区間は狭くなる。	s06_u02,信頼区間,標本サイズ	1	1	TRUE
信頼係数を95%から99%に上げると、他の条件が同じなら信頼区間の幅はどうなるか。	広くなる	狭くなる	変化しない	必ず半分になる	1	信頼係数を高くすると、より大きな臨界値を用いるため、信頼区間は広くなる。	s06_u02,信頼係数,区間幅	1	2	TRUE
正規母集団からの標本について、母分散σ²の信頼区間を作るときに用いる分布はどれか。	χ²分布	t分布	標準正規分布	一様分布	1	正規母集団では、(n-1)S²/σ²が自由度n-1のχ²分布に従うことを利用する。	s06_u02,母分散,χ二乗分布	1	1	TRUE
標本平均が50、母分散が既知で標準誤差が2、95%信頼区間で用いる標準正規分布の臨界値を約1.96とすると、信頼区間はどれか。	50±1.96×2	50±2/1.96	50±1.96/2	50±2²	1	信頼区間は推定値±臨界値×標準誤差で求めるため、50±1.96×2となる。	s06_u02,母平均,計算	1	2	TRUE
母平均の信頼区間で、標本標準偏差sを用いる場合の標準誤差として最も適切なものはどれか。	s/√n	s/n	s²/√n	√s/n	1	母分散が未知で標本標準偏差sを使うとき、標本平均の標準誤差はs/√nで表される。	s06_u02,母平均,標準誤差	1	2	TRUE
母平均の95%信頼区間を、母分散既知の場合に表す式として最も適切なものはどれか。	標本平均±1.96×σ/√n	標本平均±1.96×σ²/n	標本平均±1.96×√n/σ	標本平均±1.96×n/σ	1	母分散既知なら、標本平均の標準誤差はσ/√nであるため、信頼区間は標本平均±臨界値×σ/√nで表される。	s06_u02,母平均,母分散既知	1	2	TRUE
母平均の信頼区間で、母分散が未知の場合にt分布の自由度として通常用いるものはどれか。	n-1	n	n+1	2n	1	標本分散を用いる母平均の推定では、t分布の自由度は標本サイズnに対してn-1となる。	s06_u02,t分布,自由度	1	1	TRUE
