question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
2つの母平均の差μ1−μ2の信頼区間で、0を含まない場合の解釈として最も適切なものはどれか。	2つの母平均に差があるとは判断できない	指定した信頼係数のもとで、母平均の差が0ではない可能性が高いと判断する	標本平均の差が必ず0ではない	2つの母平均は必ず等しい	2	母平均の差の信頼区間が0を含まない場合、差がないという値0がもっともらしい範囲に入らないため、母平均に差があると判断する材料になる。	s06_u03,母平均の差,信頼区間	1	1	TRUE
2つの母平均の差を推定するとき、対応のない2標本として扱うのが適切な例はどれか。	同じ生徒の授業前後の得点差	同じ患者の治療前後の血圧差	A校とB校から別々に抽出した生徒の平均身長の差	同じ工場で同じ製品を2回測定した差	3	対応のない2標本は、2つの標本が互いに独立している場合である。A校とB校から別々に抽出した生徒は、通常独立な2標本として扱う。	s06_u03,独立2標本,母平均の差	1	1	TRUE
対応のある2標本で母平均の差を推定するとき、基本的に何に対して1標本の信頼区間を作るか。	2群の標本分散の比	各ペアの差	2群を合わせた全体の平均	2群の標本サイズの差	2	対応のあるデータでは、各ペアの差を1つのデータとして扱い、その差の母平均に対する信頼区間を作る。	s06_u03,対応あり,差の平均	1	1	TRUE
独立な2標本の母平均の差の信頼区間で、標準誤差に直接関係する量として最も適切なものはどれか。	2つの標本平均の和だけ	2つの標本サイズと標本分散	母平均そのもの	信頼係数だけ	2	独立な2標本の平均差の標準誤差は、各群の標本分散と標本サイズに基づいて決まる。	s06_u03,標準誤差,独立2標本	1	2	TRUE
2つの母比率の差p1−p2の信頼区間で、0を含む場合の解釈として最も適切なものはどれか。	2つの母比率は必ず等しい	2つの標本比率は必ず等しい	母比率に差があるとは判断しにくい	母比率の差は必ず0より大きい	3	母比率の差の信頼区間が0を含む場合、差がないという可能性を排除できないため、差があるとは判断しにくい。	s06_u03,母比率の差,信頼区間	1	1	TRUE
2つの独立な母比率の差を推定する信頼区間で、標準誤差を考えるときに使う量として最も適切なものはどれか。	各群の標本比率と標本サイズ	各群の標本平均と標本分散	2群を合わせた中央値	母分散の比	1	母比率の差の信頼区間では、各群の標本比率と標本サイズから標準誤差を求める。	s06_u03,母比率の差,標準誤差	1	2	TRUE
2つの母分散の比を推定するとき、関係する分布として最も適切なものはどれか。	正規分布	t分布	χ²分布	F分布	4	2つの母分散の比に関する推定や検定では、標本分散の比に基づくF分布を用いる。	s06_u03,分散比,F分布	2	1	TRUE
信頼区間の幅を狭くする方法として、一般に適切なものはどれか。	標本サイズを大きくする	信頼係数を大きくする	標本分散を大きくする	標準誤差を大きくする	1	標本サイズが大きくなると標準誤差が小さくなり、信頼区間の幅は一般に狭くなる。	s06_u03,信頼区間,標準誤差	2	1	TRUE
2つの独立な母平均の差の信頼区間で、標本サイズが大きい場合に一般に成り立つ考え方として最も適切なものはどれか。	標本平均の差は近似的に正規分布に従うと考えられる	標本平均の差は必ず一様分布に従う	標本分散の差は必ず0になる	信頼区間の幅は標本サイズに関係しない	1	標本サイズが大きい場合、中心極限定理により標本平均の差は近似的に正規分布に従うと考えられる。	s06_u03,母平均の差,正規近似	2	2	TRUE
2つの母比率の差を推定する場面として最も適切なものはどれか。	2つの学校の平均点の差を調べる	2つの製品の不良品率の差を調べる	1つの工場の製品重量の分散を調べる	同じ人の前後の血圧差を調べる	2	比率の差を推定する場面は、合格率・不良品率・支持率のような割合を2群で比較する場合である。	s06_u03,母比率の差,適用場面	2	1	FALSE
独立な2標本の母平均の差の信頼区間を作る場面で、標本サイズが小さく母分散が未知の場合に注意すべきことはどれか。	必ず正規分布だけを使う	t分布を用いる条件や自由度の扱いを確認する	信頼区間は作れない	標本平均ではなく中央値だけを使う	2	母分散未知で標本サイズが小さい場合、t分布を使うことが多く、等分散を仮定するかどうかや自由度の扱いが重要になる。	s06_u03,母平均の差,t分布	1	3	FALSE
ある薬の効果について、同じ被験者の投与前後の値を測定した。母平均の差の信頼区間を作る方法として最も適切なものはどれか。	投与前群と投与後群を独立2標本として扱う	各被験者の前後差を作り、その平均差の信頼区間を考える	投与前のデータだけで母平均を推定する	投与後のデータだけで母分散を推定する	2	同じ被験者の前後比較は対応のあるデータである。各被験者の差を作り、その差の母平均について信頼区間を作る。	s06_u03,対応あり,前後比較	1	3	FALSE
2つの母比率の差p1−p2の95%信頼区間が-0.03から0.12であった。この結果の読み取りとして最も適切なものはどれか。	p1はp2より必ず大きい	p1とp2に差があるとは判断しにくい	p1とp2は必ず等しい	p1−p2は必ず0.95である	2	信頼区間が0を含んでいるため、母比率の差が0である可能性を排除できない。したがって差があるとは判断しにくい。	s06_u03,母比率の差,信頼区間の解釈	1	2	FALSE
2つの母平均の差μ1−μ2の95%信頼区間が1.2から4.8であった。この結果から最も適切にいえることはどれか。	μ1はμ2より小さいと判断できる	μ1とμ2に差があるとは判断できない	μ1はμ2より大きいと判断する材料になる	μ1−μ2は必ず3.0である	3	信頼区間全体が正であり0を含まないため、μ1−μ2は正、すなわちμ1がμ2より大きいと判断する材料になる。	s06_u03,母平均の差,信頼区間の解釈	1	2	FALSE
