question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
ヒストグラムにおいて階級幅を広くすると一般にどうなるか？	分布の細かな形が見えやすくなる	度数の合計が変わる	分布の大まかな形のみが分かる	外れ値が必ず強調される	3	階級幅を広くすると情報が粗くなり、分布の大まかな形を把握する表示になる。	s01_u02,ヒストグラム,階級幅	1	1	TRUE
ヒストグラムから直接読み取りやすい情報として最も適切なのはどれか？	中央値	最頻階級	四分位範囲	分散	2	ヒストグラムでは最も度数の大きい階級、すなわち最頻階級を読み取りやすい。	s01_u02,ヒストグラム,最頻階級	1	2	TRUE
片側に長い尾をもつ分布を表す用語として正しいものはどれか？	左右対称分布	尖度が低い分布	歪んだ分布	一様分布	3	片側に裾が長い非対称な分布は歪んだ分布と呼ばれる。	s01_u02,分布の形,歪度	1	1	TRUE
箱ひげ図において箱の長さが表している量はどれか？	全範囲	四分位範囲	標準偏差	最頻値	2	箱の長さは第1四分位数から第3四分位数までの四分位範囲を表す。	s01_u02,箱ひげ図,四分位範囲	1	1	TRUE
箱ひげ図で外れ値として示される点は、一般に何を基準に判断されるか？	平均±標準偏差	中央値からの距離	四分位範囲を用いた基準	最頻値との差	3	箱ひげ図では四分位範囲の1.5倍を基準に外れ値を判断することが多い。	s01_u02,箱ひげ図,外れ値	1	2	TRUE
同じデータをヒストグラムと箱ひげ図で表したとき、箱ひげ図の方が把握しやすい情報はどれか？	階級ごとの度数	分布の山の数	四分位数と外れ値	柱の高さ	3	箱ひげ図は中央値、四分位数、外れ値を簡潔に示す。	s01_u02,箱ひげ図,可視化	2	1	TRUE
ヒストグラムから二峰性であると判断できる状況として適切なのはどれか？	左右の裾が長い	柱がほぼ同じ高さで並ぶ	山が2つ確認できる	外れ値が1つだけある	3	二峰性分布とは、度数の山が2つある分布である。	s01_u02,ヒストグラム,二峰性	2	2	TRUE
箱ひげ図のみから判断することが難しい情報はどれか？	中央値の位置	外れ値の有無	分布の山の数	四分位範囲	3	箱ひげ図では分布の山の数や細かな形状は分かりにくい。	s01_u02,箱ひげ図,限界	2	2	TRUE
ヒストグラムで階級幅を極端に狭く設定した場合に起こりやすい問題はどれか？	度数の合計が変わる	ノイズが目立ち全体像をつかみにくくなる	中央値が変化する	外れ値が消える	2	階級幅が狭すぎると細かい変動が目立ち、分布全体の傾向を読み取りにくくなる。	s01_u02,ヒストグラム,階級幅	2	2	TRUE
同じデータでもヒストグラムの階級幅によって印象が変わる主な理由はどれか？	データ数が変わるから	代表値が変わるから	可視化の粒度が変わるから	外れ値が消えるから	3	階級幅を変えると度数のまとめ方が変わり、分布の見え方も変化する。	s01_u02,ヒストグラム,可視化	2	2	FALSE
ヒストグラムと箱ひげ図の両方を確認する目的として最も適切なのはどれか？	平均値を正確に計算するため	分布の形と要約情報を補完的に把握するため	標準偏差を必ず求めるため	外れ値を必ず除去するため	2	ヒストグラムは分布の形、箱ひげ図は四分位数や外れ値の把握に向いている。	s01_u02,可視化,比較	1	3	FALSE
2つの箱ひげ図を比較するとき、中央50%のばらつきを判断する指標として最も適切なのはどれか？	中央値の差	箱の長さ	外れ値の個数	最大値と最小値	2	箱の長さは四分位範囲を表し、中央50%のばらつきを比較するのに有効である。	s01_u02,箱ひげ図,比較	1	3	FALSE
箱ひげ図で中央値が箱の中央からずれている場合に示唆されることはどれか？	分布が歪んでいる可能性	標準偏差が0である	必ず二峰性である	データ数が必ず少ない	1	中央値が箱の中央からずれている場合、箱の内部で左右の広がりが異なる可能性がある。	s01_u02,箱ひげ図,歪度	2	2	FALSE
外れ値が存在するデータにおいて、平均値が中央値より影響を受けやすい理由として適切なのはどれか？	平均値は順位に基づくから	平均値はすべてのデータを用いるから	中央値は計算できないから	外れ値は必ず除去されるから	2	平均値はすべての値を足し合わせるため、極端な値の影響を直接受ける。	s01_u02,外れ値,代表値	1	2	FALSE
箱ひげ図でひげの長さが大きく非対称な場合に示唆されることはどれか？	分布が歪んでいる可能性	標準偏差が0である	必ず外れ値がない	中央値が存在しない	1	ひげの長さの非対称性は、分布の偏りや裾の長さの違いを示唆することがある。	s01_u02,箱ひげ図,分布の形	2	2	FALSE
ヒストグラムで右に長い尾をもつ分布について正しい説明はどれか？	中央値が平均値より大きくなりやすい	平均値が中央値より大きくなりやすい	最頻値が最大値になる	分散が必ず小さい	2	右に長い尾をもつ分布では、大きな値に引っ張られて平均値が中央値より大きくなりやすい。	s01_u02,歪度,代表値	1	3	FALSE
外れ値を含む箱ひげ図を解釈する際に最も注意すべき点はどれか？	必ず外れ値を削除する	外れ値の存在理由を考える	中央値を無視する	平均値だけを見る	2	外れ値は測定ミスの場合も、重要な特徴を示す値の場合もあるため、理由を確認する必要がある。	s01_u02,外れ値,解釈	1	3	FALSE
2つのヒストグラムを比較して、一方が広くもう一方が狭い場合に言えることとして最も適切なのはどれか？	平均値が必ず異なる	データ数が必ず異なる	ばらつきが異なる可能性が高い	外れ値の数が必ず同じ	3	分布の横方向の広がりは、データのばらつきの違いを示唆する。	s01_u02,ヒストグラム,比較	1	3	FALSE
箱ひげ図だけを見て平均値が同じと判断できない理由として適切なのはどれか？	平均値は通常、箱ひげ図に直接表示されない	中央値と平均値は必ず一致する	外れ値が存在しないから	箱の長さが異なるから	1	箱ひげ図は中央値や四分位数を示すが、平均値は通常直接示さない。	s01_u02,箱ひげ図,代表値	2	3	FALSE
ヒストグラムと箱ひげ図の併用が特に有効となる場面はどれか？	平均値だけを比較したいとき	分布の形と外れ値の両方を確認したいとき	度数表を作成したいとき	標準偏差を計算したいとき	2	ヒストグラムは分布の形、箱ひげ図は外れ値や四分位数の把握に有効であり、併用すると解釈が安定する。	s01_u02,可視化,解釈	1	3	FALSE
