question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
クロス集計表は、主に何を整理するための表か。	1つの量的変数の平均と分散	2つ以上のカテゴリカル変数の組み合わせごとの度数	時系列データの変化率	正規分布に従う確率変数の標準化	2	クロス集計表は、性別と支持政党のようにカテゴリカル変数どうしの組み合わせごとの度数を整理する表である。	s02_u02,カテゴリカルデータ,クロス集計	1	1	TRUE
次のうち、カテゴリカルデータとして最も適切なものはどれか。	身長	体重	血液型	試験得点	3	血液型はA型・B型などの分類で表されるためカテゴリカルデータである。身長・体重・得点は量的データである。	s02_u02,カテゴリカルデータ,変数	1	1	TRUE
クロス集計表の各セルに入る基本的な値はどれか。	各群の平均値	行カテゴリと列カテゴリの組み合わせに該当する度数	標準偏差	全体に対するカテゴリ数の割合	2	クロス集計表の各セルには、行カテゴリと列カテゴリの組み合わせに該当する度数が入る。	s02_u02,クロス集計,度数	1	1	TRUE
クロス集計表における周辺度数の説明として最も適切なものはどれか。	表の内側のセルだけに入る度数	行合計や列合計として表の端に示される度数	各セルの度数を平均との差で表した値	割合を百分率で表した値	2	周辺度数は、クロス集計表の行合計・列合計など表の周辺に示される度数である。	s02_u02,クロス集計,周辺度数	1	1	TRUE
全体に占める各セルの割合を求めたい。各セルの度数を何で割ればよいか。	その行の合計	その列の合計	全体の度数	カテゴリの数	3	全体に占める割合を求める場合は、各セルの度数を総度数で割る。	s02_u02,割合,総度数	1	2	TRUE
行内割合を求めるとき、分母として用いるものはどれか。	各セルの度数	その行の合計	その列の合計	すべての行数	2	行内割合は、その行の合計を100%として各セルの割合を求める。	s02_u02,行内割合,分母	1	2	TRUE
列内割合を求めるとき、分母として用いるものはどれか。	その列の合計	その行の合計	全体のカテゴリ数	最大のセル度数	1	列内割合は、その列の合計を100%として各セルの割合を求める。	s02_u02,列内割合,分母	1	2	TRUE
男女別に賛成・反対の割合を比較したい。性別を行に置いたクロス集計表では、通常どの割合を見るのが適切か。	全体割合	行内割合	列内割合	累積相対度数	2	性別ごとに賛成・反対の構成を比較するなら、各性別を100%とする行内割合を見るのが自然である。	s02_u02,行内割合,比較	1	2	TRUE
次の表で、A群は賛成30人・反対20人、B群は賛成20人・反対30人である。A群の賛成割合はいくらか。	30%	40%	50%	60%	4	A群の合計は30+20=50人であり、賛成割合は30/50=60%である。	s02_u02,割合計算,行内割合	1	2	FALSE
ある表で、行内割合と列内割合の値が異なる主な理由はどれか。	分子となる度数が必ず異なるから	分母として用いる合計が異なるから	カテゴリカルデータでは割合を計算できないから	総度数が一定でないから	2	行内割合は行合計、列内割合は列合計を分母にするため、同じセルでも割合は一般に異なる。	s02_u02,行内割合,列内割合	1	2	FALSE
