question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
p値の説明として最も適切なものはどれか。	帰無仮説が正しい確率	帰無仮説のもとで、観測された結果以上に極端な結果が得られる確率	対立仮説が正しい確率	検定で誤った結論を出す確率	2	p値は、帰無仮説が正しいと仮定したとき、観測結果と同程度またはそれ以上に極端な結果が得られる確率である。帰無仮説そのものが正しい確率ではない。	s07_u02,p値,仮説検定	1	1	TRUE
有意水準5%の検定でp値が0.03であった。通常の判断として最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を必ず採択する	対立仮説が100%正しいと判断する	第2種の過誤が起きたと判断する	1	p値が有意水準0.05より小さいため、帰無仮説を棄却する。ただし、対立仮説が確実に正しいことを意味しない。	s07_u02,p値,有意水準	1	2	TRUE
有意水準1%の検定でp値が0.03であった。通常の判断として最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を棄却しない	対立仮説を棄却する	検定は必ず無効である	2	p値0.03は有意水準0.01より大きいため、帰無仮説を棄却しない。p値の大小は有意水準との比較で判断する。	s07_u02,p値,有意水準	1	2	TRUE
第1種の過誤の説明として最も適切なものはどれか。	正しい帰無仮説を棄却してしまう誤り	誤った帰無仮説を棄却しない誤り	正しい対立仮説を採択する誤り	標本サイズを大きくしすぎる誤り	1	第1種の過誤は、実際には正しい帰無仮説を棄却してしまう誤りである。	s07_u02,第1種の過誤,仮説検定	1	1	TRUE
第2種の過誤の説明として最も適切なものはどれか。	正しい帰無仮説を棄却してしまう誤り	誤った帰無仮説を棄却しない誤り	有意水準を設定しない誤り	p値を計算できない誤り	2	第2種の過誤は、実際には帰無仮説が誤っているにもかかわらず、帰無仮説を棄却しない誤りである。	s07_u02,第2種の過誤,仮説検定	1	1	TRUE
有意水準αは、どの過誤の確率と対応するか。	第1種の過誤	第2種の過誤	標本誤差	測定誤差	1	有意水準αは、第1種の過誤を起こす確率の上限として設定される。	s07_u02,有意水準,第1種の過誤	1	1	TRUE
検出力の説明として最も適切なものはどれか。	帰無仮説が正しいときに棄却しない確率	帰無仮説が誤っているときに正しく棄却する確率	帰無仮説が正しい確率	p値が有意水準より大きくなる確率	2	検出力は、帰無仮説が誤っているときにそれを正しく棄却できる確率であり、1−βで表される。	s07_u02,検出力,第2種の過誤	1	1	TRUE
第2種の過誤の確率をβとすると、検出力はどのように表されるか。	α	1−α	β	1−β	4	検出力は、帰無仮説が誤っているときに帰無仮説を棄却する確率であり、1−βで表される。	s07_u02,検出力,β	1	2	TRUE
有意水準を小さくすると、他の条件が同じ場合に一般にどうなるか。	第1種の過誤は起こりやすくなる	第1種の過誤は起こりにくくなる	第2種の過誤は必ず0になる	検出力は必ず1になる	2	有意水準を小さくすると、帰無仮説を棄却する基準が厳しくなるため、第1種の過誤は起こりにくくなる。一方で、第2種の過誤が起こりやすくなる場合がある。	s07_u02,有意水準,過誤	1	2	TRUE
p値が非常に小さいときの解釈として最も適切なものはどれか。	帰無仮説のもとでは観測結果が起こりにくい	帰無仮説が正しい確率が高い	第1種の過誤が必ず起きている	標本サイズが必ず小さい	1	p値が小さいとは、帰無仮説のもとでは観測結果が起こりにくいことを意味する。帰無仮説が正しい確率そのものではない。	s07_u02,p値,解釈	1	2	TRUE
p値が0.20であったときの説明として最も適切なものはどれか。	帰無仮説が正しいことが証明された	帰無仮説のもとで観測結果は極端とはいえない	対立仮説が誤りであることが証明された	第2種の過誤が必ず起きた	2	p値が大きい場合、帰無仮説のもとで観測結果はそれほど極端ではないと判断する。ただし、帰無仮説が正しいと証明されたわけではない。	s07_u02,p値,解釈	1	3	FALSE
有意水準5%で帰無仮説を棄却しなかった。この結論として最も適切なものはどれか。	帰無仮説が正しいと証明された	対立仮説が正しいと証明された	帰無仮説を棄却する十分な証拠がなかった	第1種の過誤が必ず起きた	3	帰無仮説を棄却しないとは、帰無仮説を否定するだけの十分な証拠がないという意味であり、帰無仮説が正しいことの証明ではない。	s07_u02,棄却しない,仮説検定	1	3	FALSE
実際には新薬に効果があるのに、検定で効果があるとはいえないと判断した。このときの過誤はどれか。	第1種の過誤	第2種の過誤	標本誤差ではない	過誤ではなく正しい判断	2	効果がある状況では、通常「効果がない」を帰無仮説とする。この帰無仮説が誤っているのに棄却しないため、第2種の過誤である。	s07_u02,第2種の過誤,具体例	1	3	FALSE
実際には新薬に効果がないのに、検定で効果があると判断した。このときの過誤はどれか。	第1種の過誤	第2種の過誤	検出力	信頼係数	1	効果がない状況では、通常「効果がない」を帰無仮説とする。正しい帰無仮説を棄却してしまうため、第1種の過誤である。	s07_u02,第1種の過誤,具体例	1	3	FALSE
標本サイズを大きくすると、他の条件が同じ場合に一般にどうなるか。	検出力は低下しやすい	検出力は高まりやすい	第1種の過誤の確率は必ず0になる	p値は必ず大きくなる	2	標本サイズが大きくなると、差や効果を検出しやすくなるため、一般に検出力は高まりやすい。ただし、p値が必ず小さくなるとは限らない。	s07_u02,検出力,標本サイズ	2	3	FALSE
有意水準を小さくしたときのトレードオフとして最も適切なものはどれか。	第1種の過誤は減りやすいが、第2種の過誤は増えやすい	第1種の過誤も第2種の過誤も必ず減る	第1種の過誤は増えやすいが、第2種の過誤は減りやすい	検出力は必ず高まる	1	有意水準を小さくすると棄却基準が厳しくなり、第1種の過誤は減りやすい。一方で、本当に差がある場合でも棄却しにくくなり、第2種の過誤が増えやすい。	s07_u02,有意水準,過誤,検出力	1	3	FALSE
