question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
推定量とは何を表す統計量か。	母集団から無作為に取り出した観測値そのもの	未知の母数を推定するために標本から計算される量	母集団の全要素を並べた一覧	標本調査で必ず真の値と一致する量	2	推定量は、未知の母平均・母分散・母比率などの母数を推定するために、標本データから計算される統計量である。	s06_u01,推定量,母数	1	1	TRUE
母平均μの推定量として標本平均X̄を用いるとき、X̄が不偏推定量であるとはどういう意味か。	X̄の分散が必ず0になること	X̄がどの標本でもμと完全に一致すること	X̄の期待値がμに等しいこと	X̄が正規分布に必ず従うこと	3	不偏性とは、推定量の期待値が推定したい母数に一致する性質である。標本平均X̄ではE(X̄)=μとなる。	s06_u01,不偏性,標本平均	1	1	TRUE
推定量Tが母数θの不偏推定量であるための条件として正しいものはどれか。	Var(T)=θ	E(T)=θ	T=θが常に成り立つ	P(T=θ)=1	2	不偏推定量の条件はE(T)=θである。実際の標本ごとに常に一致する必要はない。	s06_u01,不偏推定量,期待値	1	1	TRUE
標本平均X̄の分散として正しいものはどれか。ただし母分散をσ²、標本サイズをnとする。	σ²	σ²/n	σ/n	nσ²	2	独立同分布の標本に対して、標本平均の分散はVar(X̄)=σ²/nである。標本サイズが大きいほどばらつきは小さくなる。	s06_u01,標本平均,分散	1	2	TRUE
推定量の一致性について、最も適切な説明はどれか。	標本サイズが大きくなると、推定量が母数に近づく性質	推定量の期待値が常に0になる性質	どの標本でも推定値が同じになる性質	推定量の分散が母分散と一致する性質	1	一致性とは、標本サイズnが大きくなるにつれて、推定量が推定対象の母数に確率的に近づく性質である。	s06_u01,一致性,推定量	1	1	TRUE
標本平均X̄が母平均μの一致推定量であることを支える理由として最も適切なものはどれか。	標本平均は標本サイズに関係なく必ずμと一致するから	標本サイズが大きくなるとVar(X̄)=σ²/nが小さくなるから	標本平均は必ず整数になるから	標本平均は母分散を推定する量だから	2	標本平均はE(X̄)=μであり、さらにVar(X̄)=σ²/nがnの増加とともに0に近づくため、母平均の一致推定量となる。	s06_u01,一致性,標本平均	1	2	TRUE
母分散σ²の推定で、標本分散の分母にn-1を用いる主な理由はどれか。	計算を簡単にするため	分散を必ず小さくするため	母分散の不偏推定量にするため	標本平均を0にするため	3	標本平均を用いて偏差平方和を計算すると自由度が1つ減る。分母をn-1とすることで、母分散σ²の不偏推定量になる。	s06_u01,不偏分散,母分散	1	2	TRUE
分母をnとする標本分散について、母分散σ²との関係として正しいものはどれか。	母分散の不偏推定量である	母分散を平均的に過小評価する	母分散を平均的に過大評価する	標本サイズに関係なく常に母分散と一致する	2	分母をnとする標本分散は、平均的には母分散より小さくなる。母分散の不偏推定量にするには分母をn-1とする。	s06_u01,標本分散,不偏分散	1	2	TRUE
ある推定量AとBがどちらも不偏推定量である。よりよい推定量を選ぶ観点として最も適切なものはどれか。	期待値が大きい方を選ぶ	分散が小さい方を選ぶ	計算式が長い方を選ぶ	標本サイズに依存しない方を必ず選ぶ	2	同じ母数の不偏推定量を比較する場合、分散が小さい推定量の方が推定値のばらつきが小さく、効率がよいと考えられる。	s06_u01,効率性,分散	2	2	TRUE
推定量にバイアスがあるとは、どのような状態か。	推定量の分散が0である状態	推定量の期待値が推定対象の母数と異なる状態	推定量が標本サイズに依存しない状態	推定量が必ず正の値をとる状態	2	バイアスとは、推定量の期待値と母数との差である。期待値が母数と異なる推定量は、偏りをもつ推定量である。	s06_u01,バイアス,不偏性	2	2	FALSE
不偏性と一致性の関係について、最も適切なものはどれか。	不偏であれば必ず一致性をもつ	一致性があれば必ず不偏である	不偏性と一致性は同じ性質である	不偏性と一致性は異なる性質であり、別々に確認する必要がある	4	不偏性は期待値が母数に一致する性質であり、一致性は標本サイズの増加により推定量が母数に近づく性質である。両者は同じではない。	s06_u01,不偏性,一致性	2	3	FALSE
推定量の平均二乗誤差MSEについて、正しい関係はどれか。	MSE=分散+バイアスの2乗	MSE=期待値+分散	MSE=標本サイズ+母数	MSE=標準偏差−バイアス	1	平均二乗誤差は、推定量のばらつきと偏りを合わせて評価する指標であり、MSE=Var(T)+Bias(T)^2と表される。	s06_u01,MSE,バイアス	2	3	FALSE
不偏推定量について正しい説明はどれか。	1回の推定で必ず真の母数を当てる推定量である	何度も標本抽出を繰り返したとき、推定値の平均が母数に一致する推定量である	標本サイズが1でも必ず正確な推定量である	分散が最も小さい推定量である	2	不偏性は長期的・平均的な性質である。1回の標本で真の母数に一致することを意味しない。	s06_u01,不偏推定量,解釈	1	3	FALSE
母平均の推定において、標本サイズを大きくすると標本平均の標準誤差はどうなるか。	大きくなる	小さくなる	変わらない	必ず0になる	2	標本平均の標準誤差はσ/√nであるため、標本サイズnが大きくなると小さくなる。ただし有限のnで必ず0になるわけではない。	s06_u01,標準誤差,標本サイズ	1	2	FALSE
一致推定量について誤っている説明はどれか。	標本サイズが大きくなるほど母数に近づきやすくなる	大数の法則と関係が深い	有限の標本では必ず母数と一致する	標本平均は母平均の一致推定量である	3	一致性は、標本サイズを大きくした極限で推定量が母数に近づく性質である。有限の標本で必ず母数と一致するという意味ではない。	s06_u01,一致性,誤文選択	1	3	FALSE
同じ母数を推定する2つの推定量について、効率性を比較するときに主に注目するものはどれか。	推定量の名前	推定量の分散	標本データの並び順	母集団の大きさだけ	2	効率性は、同じ母数を推定する推定量のばらつきの小ささで比較される。一般に分散が小さい推定量ほど効率がよい。	s06_u01,効率性,推定量の比較	2	2	FALSE
有効性の高い推定量として最も適切なものはどれか。	不偏で、かつ分散が小さい推定量	期待値が母数より大きい推定量	標本サイズによらず同じ値を返す推定量	計算に母数そのものを使う推定量	1	有効性は、推定量の偏りのなさやばらつきの小ささを含めて評価する考え方である。統計検定2級では、不偏性と分散の小ささを中心に理解する。	s06_u01,有効性,効率性	2	2	FALSE
不偏性・一致性・効率性の対応として正しいものはどれか。	不偏性：分散が最小、一致性：期待値が母数、効率性：標本サイズと無関係	不偏性：期待値が母数、一致性：標本サイズ増加で母数に近づく、効率性：分散が小さい	不偏性：必ず真値に一致、一致性：必ず不偏、効率性：計算が簡単	不偏性：標本数が多い、一致性：分散が大きい、効率性：母数が既知	2	不偏性は期待値、一致性は標本サイズを大きくしたときの収束、効率性は推定量の分散の小ささに関する性質である。	s06_u01,不偏性,一致性,効率性	1	3	FALSE
母分散の推定で自由度n-1が現れる理由として最も適切なものはどれか。	標本平均をデータから計算しているため、偏差の自由な動きが1つ減るから	標本サイズを必ず奇数にする必要があるから	母平均が既知であるから	分散の単位を平均と同じにするため	1	標本平均を用いると、各偏差の和が0になる制約が生じる。そのため自由度はnではなくn-1となる。	s06_u01,自由度,不偏分散	1	3	FALSE
推定量を評価する際の考え方として最も適切なものはどれか。	1回の標本で真値に近かったかだけで判断する	期待値・分散・標本サイズを大きくしたときの性質などを総合して判断する	計算式が短い推定量を常によい推定量とする	母数を知らない場合は推定量の良し悪しを一切比較できない	2	推定量の性質は、不偏性・一致性・効率性・MSEなど複数の観点から評価する。1回の推定結果だけで一般的な良し悪しは判断できない。	s06_u01,推定量の評価,総合判断	2	3	FALSE
