question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
超幾何分布が用いられる典型的な状況として、最も適切なものはどれか。	復元抽出で、各試行の成功確率が一定である場合	非復元抽出で、母集団中の成功数が決まっている場合	一定時間内のまれな事象の発生回数を数える場合	次の成功までの待ち時間を連続量で扱う場合	2	超幾何分布は、有限母集団から非復元抽出を行い、成功数を数える場面で用いる。	s04_u05,超幾何分布,非復元抽出	1	1	TRUE
幾何分布が表す確率変数として、最も適切なものはどれか。	n回中の成功回数	初めて成功するまでの試行回数	一定区間内の発生回数	標本平均の分布	2	幾何分布は、独立なベルヌーイ試行を繰り返し、初めて成功するまでの試行回数を表す。	s04_u05,幾何分布,ベルヌーイ試行	1	1	TRUE
指数分布がよく用いられる確率変数として、最も適切なものはどれか。	一定時間内の事故件数	成功するまでの試行回数	次の事象が起こるまでの待ち時間	非復元抽出で得られる成功数	3	指数分布は、ポアソン過程における次の発生までの待ち時間を表す連続型分布として使われる。	s04_u05,指数分布,待ち時間	1	1	TRUE
復元抽出で、各回の成功確率が一定であるとき、成功回数を表す分布として最も適切なものはどれか。	二項分布	超幾何分布	幾何分布	指数分布	1	復元抽出では各試行の成功確率が一定なので、成功回数は二項分布で扱うのが典型である。	s04_u05,二項分布,復元抽出	1	2	TRUE
有限個の製品100個のうち不良品が5個ある。この中から10個を非復元抽出するとき、不良品数の分布として最も適切なものはどれか。	二項分布	ポアソン分布	超幾何分布	正規分布	3	不良品数が決まった有限母集団から非復元抽出しているため、超幾何分布を用いる。	s04_u05,超幾何分布,適用判断	1	2	TRUE
成功確率がpの独立試行を繰り返す。初めて成功するまでの試行回数Xが幾何分布に従うとき、P(X=3)として正しいものはどれか。	p^3	(1-p)^3	(1-p)^2p	(1-p)p^2	3	3回目に初めて成功するには、1回目と2回目が失敗し、3回目が成功する必要がある。	s04_u05,幾何分布,確率計算	2	2	TRUE
指数分布についての説明として、最も適切なものはどれか。	離散型確率分布である	待ち時間を表す連続型確率分布である	非復元抽出の成功数を表す	試行回数が固定された成功回数を表す	2	指数分布は、ある事象が次に起こるまでの待ち時間を扱う連続型確率分布である。	s04_u05,指数分布,連続型分布	2	1	FALSE
超幾何分布と二項分布の違いとして、最も適切なものはどれか。	超幾何分布は連続型、二項分布は離散型である	超幾何分布は非復元抽出、二項分布は成功確率一定の試行で用いる	超幾何分布は待ち時間、二項分布は発生間隔を表す	超幾何分布は平均だけを扱い、二項分布は分散だけを扱う	2	超幾何分布は非復元抽出、二項分布は独立で成功確率が一定の試行に対応する。	s04_u05,超幾何分布,二項分布,比較	1	3	FALSE
ある機械の故障がポアソン過程に従うと考える。次に故障するまでの時間を表す分布として最も適切なものはどれか。	ポアソン分布	指数分布	超幾何分布	幾何分布	2	ポアソン分布は一定時間内の発生回数、指数分布は次の発生までの待ち時間を表す。	s04_u05,指数分布,ポアソン過程	1	3	FALSE
幾何分布と指数分布の対応として、最も適切なものはどれか。	どちらも非復元抽出の成功数を表す	幾何分布は離散的な待ち回数、指数分布は連続的な待ち時間を表す	幾何分布は連続型、指数分布は離散型である	どちらも試行回数が固定された成功回数を表す	2	幾何分布は成功までの試行回数、指数分布は次の発生までの連続的な待ち時間を表す。	s04_u05,幾何分布,指数分布,比較	2	3	FALSE
超幾何分布で、母集団の大きさをN、成功数をM、標本サイズをnとするとき、確率変数Xが表すものとして最も適切なものはどれか。	母集団全体の成功割合	n個を非復元抽出したときの成功数	初めて成功するまでの試行回数	一定時間内の発生間隔	2	超幾何分布では、有限母集団からn個を非復元抽出したときに含まれる成功数Xを考える。	s04_u05,超幾何分布,確率変数	2	2	FALSE
幾何分布について、成功確率pが大きくなると期待される傾向として最も適切なものはどれか。	初めて成功するまでの試行回数は短くなりやすい	初めて成功するまでの試行回数は長くなりやすい	成功までの試行回数は必ず1回になる	分布は超幾何分布に変わる	1	成功確率pが大きいほど、早い段階で成功しやすくなるため、成功までの試行回数は短くなりやすい。	s04_u05,幾何分布,期待値の直観	2	2	FALSE
指数分布の性質として知られる無記憶性の説明として、最も適切なものはどれか。	過去に待った時間によらず、今後さらに待つ時間の分布が変わらない	平均と分散が常に等しい	抽出するたびに母集団の構成が変わる	標準化すると必ず標準正規分布になる	1	指数分布の無記憶性とは、すでに待った時間に関係なく、これから待つ時間の分布が同じになる性質である。	s04_u05,指数分布,無記憶性	2	3	FALSE
次のうち、分布の選択として不適切なものはどれか。	不良品が5個含まれる100個から10個を非復元抽出する不良品数に超幾何分布を用いる	成功確率が一定の独立試行で初成功までの回数に幾何分布を用いる	ポアソン過程で次の発生までの待ち時間に指数分布を用いる	非復元抽出で得られる成功数に常にポアソン分布を用いる	4	非復元抽出で有限母集団中の成功数を数える場合は、通常は超幾何分布を考える。ポアソン分布は一定区間内のまれな事象の発生回数に用いる。	s04_u05,分布の選択,適用判断	1	3	FALSE
