question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
母平均μ、母分散σ^2の母集団から大きさnの無作為標本を抽出するとき、標本平均X̄の期待値として正しいものはどれか。	μ	σ^2	σ^2/n	μ/n	1	標本平均の期待値は母平均に等しく、E(X̄)=μである。標本平均は母平均の不偏推定量である。	s05_u01,標本平均,期待値,不偏性	1	1	TRUE
母分散σ^2の母集団から大きさnの無作為標本を抽出するとき、標本平均X̄の分散として正しいものはどれか。	σ^2	σ/n	σ^2/n	nσ^2	3	標本平均の分散はVar(X̄)=σ^2/nである。標本サイズが大きくなるほど、標本平均のばらつきは小さくなる。	s05_u01,標本平均,分散,標準誤差	1	1	TRUE
母標準偏差がσであるとき、標本平均X̄の標準誤差として正しいものはどれか。	σ	σ^2/n	σ/√n	√nσ	3	標本平均の標準誤差は、標本平均の標準偏差を表し、σ/√nである。	s05_u01,標本平均,標準誤差	1	1	TRUE
母比率pの母集団から大きさnの無作為標本を抽出するとき、標本比率p̂の期待値として正しいものはどれか。	p	1-p	p(1-p)	p/n	1	標本比率の期待値は母比率に等しく、E(p̂)=pである。	s05_u01,標本比率,期待値	1	1	TRUE
母比率pの母集団から大きさnの無作為標本を抽出するとき、標本比率p̂の分散として正しいものはどれか。	p(1-p)	p(1-p)/n	p/n	(1-p)/n	2	標本比率の分散はVar(p̂)=p(1-p)/nである。標本サイズが大きいほど、標本比率のばらつきは小さくなる。	s05_u01,標本比率,分散,標準誤差	1	1	TRUE
標本サイズnを4倍にすると、標本平均の標準誤差はどうなるか。	4倍になる	2倍になる	1/2になる	1/4になる	3	標準誤差はσ/√nである。nを4倍にすると分母が2倍になるため、標準誤差は1/2になる。	s05_u01,標準誤差,標本サイズ	1	2	TRUE
母平均50、母標準偏差10の母集団から大きさ25の標本を抽出する。標本平均の標準誤差はいくつか。	0.4	2	5	10	2	標本平均の標準誤差はσ/√n=10/√25=10/5=2である。	s05_u01,標本平均,標準誤差,計算	1	2	TRUE
母比率p=0.36の母集団から大きさ100の標本を抽出する。標本比率の標準誤差として最も適切なものはどれか。	0.0048	0.048	0.36	0.64	2	標本比率の標準誤差は√{p(1-p)/n}=√{0.36×0.64/100}=0.048である。	s05_u01,標本比率,標準誤差,計算	1	2	TRUE
標本平均の標準誤差を小さくする方法として最も適切なものはどれか。	標本サイズを小さくする	標本サイズを大きくする	母平均を大きくする	標本平均を大きくする	2	標本平均の標準誤差はσ/√nである。母標準偏差σが一定なら、標本サイズnを大きくすると標準誤差は小さくなる。	s05_u01,標準誤差,標本サイズ	1	1	TRUE
標本平均と個々の観測値のばらつきについて、正しい説明はどれか。	標本平均のばらつきは個々の観測値のばらつきより大きい	標本平均のばらつきは標本サイズが大きいほど小さくなる	標本平均のばらつきは標本サイズに関係しない	個々の観測値のばらつきは常に0である	2	標本平均は複数の観測値を平均した値なので、そのばらつきはσ/√nで表され、標本サイズが大きいほど小さくなる。	s05_u01,標本平均,ばらつき,標準誤差	1	2	FALSE
母平均μ、母標準偏差σの母集団から大きさnの標本を抽出する。標本平均を標準化した式として正しいものはどれか。	(X̄-μ)/σ	(X̄-μ)/(σ/√n)	(X̄-μ)/(σ^2/n)	(X̄-nμ)/σ	2	標本平均を標準化するときは、標本平均の標準偏差である標準誤差σ/√nで割る。	s05_u01,標本平均,標準化,標準誤差	1	2	FALSE
母平均50、母標準偏差12の母集団から大きさ36の標本を抽出する。標本平均が54であるとき、標準化した値はいくつか。	0.33	1	2	4	3	標準誤差は12/√36=2である。したがって標準化した値は(54-50)/2=2である。	s05_u01,標本平均,標準化,計算	1	2	FALSE
標本平均の分布について、中心極限定理が主に述べている内容として最も適切なものはどれか。	母集団が必ず正規分布になる	標本サイズが大きいとき、標本平均の分布は近似的に正規分布に従う	標本平均は常に母平均と一致する	標本サイズが大きいほど母分散は小さくなる	2	中心極限定理は、一定の条件のもとで、標本サイズが大きいとき標本平均の分布が近似的に正規分布に従うことを述べる。	s05_u01,中心極限定理,標本平均	1	2	FALSE
ある母集団の分布が強く歪んでいる場合でも、標本サイズが十分大きいときに標本平均の分布について言えることとして最も適切なものはどれか。	標本平均の分布は必ず母集団と同じ形になる	標本平均の分布は近似的に正規分布に近づく	標本平均の分散は母分散と等しくなる	標本平均は必ず母平均より大きくなる	2	母集団が正規分布でなくても、標本サイズが十分大きければ、中心極限定理により標本平均の分布は近似的に正規分布に近づく。	s05_u01,中心極限定理,標本分布,判断	1	3	FALSE
母平均μ、母標準偏差σの正規母集団から大きさnの標本を抽出するとき、標本平均X̄の分布として正しいものはどれか。	N(μ,σ^2)	N(μ,σ^2/n)	N(μ/n,σ^2)	N(nμ,σ^2/n)	2	母集団が正規分布なら、標本サイズにかかわらず標本平均X̄は正規分布に従い、平均μ、分散σ^2/nである。	s05_u01,標本平均,正規母集団,標本分布	1	2	FALSE
