question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
z得点の定義として正しいものはどれか？	平均との差を標準偏差で割った値	平均との差を分散で割った値	平均との差を平均で割った値	平均との差を標準偏差の2倍で割った値	1	z得点は、値から平均を引き、それを標準偏差で割った値である。	s01_u03,z得点,標準化	1	1	TRUE
平均50・標準偏差10の偏差値の定義として正しいものはどれか？	50+10×z得点	10+50×z得点	50×z得点	10×z得点	1	偏差値は50+10zで定義される。	s01_u03,偏差値,標準化	1	1	TRUE
同一集団内でz得点が大きい人ほど何が言えるか？	平均との差が大きい	平均との差が小さい	分散が大きい	標準偏差が大きい	1	z得点が大きいほど、その値は平均より上に離れている。	s01_u03,z得点,解釈	1	1	TRUE
平均点が異なる2つのテストの得点を比較するのに適切なのはどれか？	z得点	素点	合計点	最小値	1	z得点を使うと、平均や標準偏差の違いを補正して相対的位置を比較できる。	s01_u03,z得点,比較	1	2	TRUE
変動係数の定義として正しいものはどれか？	標準偏差÷平均	平均÷標準偏差	分散÷平均	標準偏差÷分散	1	変動係数は標準偏差を平均で割った値であり、相対的なばらつきを表す。	s01_u03,変動係数,定義	1	1	TRUE
平均が大きく異なる2群のばらつきを比較する際に有効なのはどれか？	変動係数	分散	標準偏差	中央値	1	平均の大きさが異なる場合、標準偏差だけでなく平均に対する相対的ばらつきを見る変動係数が有効である。	s01_u03,変動係数,比較	2	2	TRUE
z得点が負の値になるのはどのような場合か？	値が平均より小さい場合	値が平均より大きい場合	標準偏差が負の場合	分散が負の場合	1	値が平均より小さければ、平均との差が負となりz得点も負になる。	s01_u03,z得点,解釈	1	2	TRUE
偏差値60はz得点でいくつに相当するか？	0.5	1	1.5	2	2	偏差値=50+10zより、60=50+10zなのでz=1である。	s01_u03,偏差値,換算	2	2	TRUE
z得点が0であるとき、その値は何を意味するか？	値が平均と一致している	分散が0である	標準偏差が0である	中央値と一致している	1	z得点が0なら、値と平均との差が0である。	s01_u03,z得点,基本	1	1	FALSE
偏差値が同じ2人について正しく言えるのはどれか？	同一集団内での相対的位置が同じ	素点が必ず同じ	平均との差が必ず同じ	標準偏差が必ず同じ	1	偏差値は集団内での相対的位置を表すため、同じ偏差値なら同じ相対的位置にある。	s01_u03,偏差値,比較	1	2	FALSE
z得点を用いる前提として最も適切なのはどれか？	平均と標準偏差が定義できる	必ず正規分布である	データ数が100以上ある	中央値と最頻値が等しい	1	z得点は平均と標準偏差を用いて計算する。	s01_u03,z得点,前提	1	2	FALSE
変動係数が小さいデータの特徴として正しいものはどれか？	平均に対する相対的なばらつきが小さい	分散が必ず小さい	標準偏差が必ず0に近い	平均が必ず0に近い	1	変動係数は平均に対する標準偏差の比であり、相対的なばらつきを示す。	s01_u03,変動係数,解釈	1	2	FALSE
平均と標準偏差がともに2倍になったとき、変動係数はどうなるか？	変わらない	2倍になる	半分になる	定義できない	1	変動係数は標準偏差÷平均なので、両方が同じ倍率で変化すれば比は変わらない。	s01_u03,変動係数,性質	2	3	FALSE
z得点を用いた比較として不適切なのはどれか？	分布形状が大きく異なる集団同士の単純比較	平均の異なる同種テストの比較	ばらつきの異なる同種データの比較	同一集団内での相対的位置の把握	1	z得点は平均と標準偏差をそろえるが、分布形状の違いまでは補正しない。	s01_u03,z得点,注意点	2	3	FALSE
平均が0に近いデータで変動係数を用いる際の注意点はどれか？	値が不安定になりやすい	必ず0になる	分布形状に依存しない	標準偏差が使えない	1	平均が0に近いと、標準偏差÷平均の値が極端になりやすく、解釈が不安定になる。	s01_u03,変動係数,注意点	2	3	FALSE
z得点が同じでも素点が異なることが起こる理由はどれか？	平均や標準偏差が異なるため	分散が常に同じため	標本サイズが同じため	中央値が同じため	1	標準化は各集団の平均と標準偏差を基準に行うため、同じz得点でも素点は異なることがある。	s01_u03,z得点,比較	2	3	FALSE
2つの科目A・Bで平均と標準偏差が異なるとき、成績比較で最も適切なのはどれか？	z得点で比較する	素点だけで比較する	平均との差だけで比較する	中央値だけで比較する	1	z得点を用いれば、平均と標準偏差の違いを考慮して相対的位置を比較できる。	s01_u03,z得点,応用	2	3	FALSE
変動係数を用いた比較として不適切なのはどれか？	平均が0に近いデータ同士の比較	平均が異なる量的データの比較	単位の異なる正の量の比較	相対的ばらつきの評価	1	平均が0に近い場合、変動係数は極端な値になりやすく、比較指標として不安定である。	s01_u03,変動係数,限界	3	3	FALSE
