question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
母平均の検定で、母分散が未知で標本サイズが小さいときに基本的に用いる分布として最も適切なものはどれか。	標準正規分布	t分布	カイ二乗分布	F分布	2	母分散未知の母平均の検定では、標本標準偏差を用いるためt分布を用いる。	s07_u03,母平均,t検定	1	1	TRUE
母平均の検定で、帰無仮説H0: μ=μ0に対する両側検定の対立仮説として最も適切なものはどれか。	μ>μ0	μ<μ0	μ≠μ0	μ=μ0	3	両側検定では、基準値より大きい場合と小さい場合の両方を対立仮説に含めるため、H1: μ≠μ0となる。	s07_u03,母平均,両側検定	1	1	TRUE
母比率pの検定で、標本サイズが十分大きいときに近似的に用いる分布として最も適切なものはどれか。	t分布	標準正規分布	カイ二乗分布	一様分布	2	母比率の検定では、標本比率の分布を正規分布で近似し、標準化して標準正規分布を用いる。	s07_u03,母比率,正規近似	1	1	TRUE
母分散σ²の検定で、正規母集団を仮定するときに用いる検定統計量が従う分布として最も適切なものはどれか。	t分布	標準正規分布	カイ二乗分布	F分布	3	正規母集団からの標本について、母分散の検定ではカイ二乗分布を用いる。	s07_u03,母分散,カイ二乗分布	1	1	TRUE
母平均の右片側検定H1: μ>μ0で、有意水準5%の棄却域として最も適切なものはどれか。	検定統計量が下側5%点より小さい領域	検定統計量が上側5%点より大きい領域	検定統計量が上下2.5%点の外側にある領域	検定統計量が中央値付近にある領域	2	右片側検定では、大きすぎる値が対立仮説を支持するため、上側5%の領域を棄却域とする。	s07_u03,片側検定,棄却域	1	2	TRUE
標本サイズ25、標本平均52、不偏標本分散100の標本から、H0: μ=50を両側検定する。検定統計量として最も近いものはどれか。	0.2	1	2	5	2	t=(52-50)/(10/√25)=2/2=1.0である。母分散未知なのでt統計量を用いる。	s07_u03,母平均,t統計量,計算	1	2	TRUE
母比率の検定で、H0: p=0.4、標本サイズ100、標本比率0.5のとき、検定統計量として最も近いものはどれか。	1.02	2.04	2.5	4.08	2	z=(0.5-0.4)/√(0.4×0.6/100)=0.1/0.049=約2.04である。	s07_u03,母比率,z検定,計算	1	2	TRUE
正規母集団の母分散についてH0: σ²=16を検定する。標本サイズ10、不偏標本分散24のとき、検定統計量として最も適切なものはどれか。	10×24/16	9×24/16	10×16/24	9×16/24	2	母分散の検定統計量は(n-1)s²/σ0²であり、ここでは9×24/16となる。	s07_u03,母分散,カイ二乗検定	1	2	TRUE
ある薬の効果により平均値が基準値より大きくなるかを調べたい。設定すべき対立仮説として最も適切なものはどれか。	μ=μ0	μ≠μ0	μ<μ0	μ>μ0	4	平均値が基準値より大きくなるかを調べるので、右片側検定のH1: μ>μ0を設定する。	s07_u03,母平均,片側検定	1	2	TRUE
母平均の検定でp値が0.03であった。有意水準5%での判断として最も適切なものはどれか。	帰無仮説を棄却する	帰無仮説を必ず採択する	対立仮説が真である確率は3%である	第1種の過誤が起きた確率は3%である	1	p値が有意水準0.05より小さいため、帰無仮説を棄却する。ただしp値は対立仮説が真である確率ではない。	s07_u03,p値,有意水準,判断	1	2	TRUE
