question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
散布図において右上がりの傾向が見られるとき、相関係数の符号として正しいものはどれか。	正	負	0	判断できない	1	右上がりの散布図は、一方の変数が大きいほどもう一方の変数も大きい傾向を示すため、相関係数は正になる。	s02_u01,散布図,相関係数	1	1	TRUE
相関係数の値として取り得ないものはどれか。	0.8	-0.6	1.2	0	3	相関係数は-1以上1以下の値を取るため、1.2は取り得ない。	s02_u01,相関係数,範囲	1	1	TRUE
相関係数が0に近いときに最も適切な解釈はどれか。	2変数に線形な関係がほとんどない	2変数は必ず独立である	必ず曲線的な関係がある	データが正規分布である	1	相関係数は線形関係の強さを表すため、0に近い場合は線形関係が弱いと解釈する。ただし独立や非線形関係の有無までは断定できない。	s02_u01,相関係数,解釈	1	2	TRUE
共分散が正であることから言えることはどれか。	一方が大きいと他方も大きくなる傾向がある	相関係数は必ず1である	散布図は必ず直線になる	単位に依存しない	1	共分散が正であれば、2変数が同じ方向に変動する傾向がある。ただし関係の強さや直線性までは断定できない。	s02_u01,共分散,符号	1	2	TRUE
同じ散布図について、2つの変数の単位を変えても変化しない量はどれか。	共分散	相関係数	平均	分散	2	相関係数は標準化された指標であり、変数の単位に依存しない。	s02_u01,相関係数,単位	1	2	TRUE
相関係数が-1に近い散布図として最も適切なものはどれか。	右上がりに点が一直線に並ぶ	右下がりに点が一直線に並ぶ	ばらばらに点が分布する	円状に点が並ぶ	2	相関係数が-1に近い場合、強い負の線形関係があり、点は右下がりの直線状に並ぶ。	s02_u01,散布図,負の相関	1	1	TRUE
相関係数が0.9であるときに正しい解釈はどれか。	必ず因果関係がある	強い正の線形関係がある	データは完全に直線上に並ぶ	外れ値が存在しない	2	0.9は強い正の線形関係を示すが、因果関係や完全な直線関係を保証するものではない。	s02_u01,相関係数,解釈	1	2	TRUE
共分散が0である場合に言えることとして最も適切なのはどれか。	2変数は必ず独立である	線形な関係がない	非線形な関係も存在しない	相関係数は必ず1である	2	共分散が0なら線形な関係はないと考えられるが、独立や非線形関係の不存在までは言えない。	s02_u01,共分散,独立	1	2	TRUE
標準化を行った2変数の共分散として正しいものはどれか。	分散	相関係数	平均	標準偏差	2	各変数を標準化した後の共分散は、元の2変数の相関係数に一致する。	s02_u01,相関係数,共分散	1	2	TRUE
同じデータに定数を加えた場合、相関係数はどうなるか。	増加する	減少する	変化しない	0になる	3	定数を加える操作は平行移動であり、2変数の線形関係の強さや向きは変わらない。	s02_u01,相関係数,性質	1	2	FALSE
一方の変数を正の定数倍した場合、相関係数はどうなるか。	増加する	減少する	符号のみ変わる	変化しない	4	正の定数倍では変数の尺度が変わるだけで、相関係数は変化しない。	s02_u01,相関係数,性質	1	2	FALSE
一方の変数を負の定数倍した場合、相関係数はどうなるか。	値は変わらない	0になる	符号が反転する	必ず1になる	3	負の定数倍をすると変数の大小関係が逆になるため、相関係数の符号は反転する。	s02_u01,相関係数,性質	1	2	FALSE
外れ値が1点だけ含まれる場合、相関係数への影響として最も適切なものはどれか。	大きく変化することがある	必ず0に近づく	必ず符号が逆になる	影響を受けない	1	相関係数は外れ値の影響を強く受けることがあるため、散布図で確認する必要がある。	s02_u01,相関係数,外れ値	1	3	FALSE
相関係数が高い場合でも因果関係があるとは限らない理由として最も適切なものはどれか。	第3の変数の影響が考えられる	相関係数は符号のみを見る指標だから	散布図を用いていないから	標本サイズが大きいから	1	相関は2変数の同時変動を示すだけであり、第3の変数や偶然の影響を排除できないため、因果関係は断定できない。	s02_u01,相関,因果	1	3	FALSE
散布図がU字型の関係を示しているとき、相関係数の値として最も起こりやすいものはどれか。	0付近	1付近	-1付近	必ず正になる	1	相関係数は線形関係を測る指標であるため、U字型のような非線形関係では0付近になることがある。	s02_u01,散布図,非線形	2	3	FALSE
共分散の値の大小を直接比較するのが適切でない理由として正しいものはどれか。	単位の影響を受けるため	必ず負になるため	標本数に依存しないため	正規分布を仮定するため	1	共分散は変数の単位や尺度の影響を受けるため、異なるデータ間で大きさを直接比較するには不向きである。	s02_u01,共分散,尺度	2	2	FALSE
相関係数の絶対値が同じでも散布図の印象が異なる主な理由はどれか。	点の数が違うため	外れ値や分布の形が異なるため	平均が違うため	単位が違うため	2	相関係数は要約量であり、外れ値や非線形性、点の配置の違いまでは十分に反映しない。	s02_u01,相関係数,散布図	2	3	FALSE
2変数の相関係数を比較する際に注意すべき点として正しいものはどれか。	標本サイズが同じである必要はない	分布の形や外れ値を確認する	必ず共分散も比較する	平均が等しいかを確認する	2	相関係数だけでなく、散布図を確認して分布の形や外れ値の影響を考えることが重要である。	s02_u01,相関係数,比較	2	3	FALSE
相関係数が0であっても注意が必要な理由として正しいものはどれか。	測定誤差が必ずあるから	非線形な関係が隠れている可能性があるから	標本数が少ないから	共分散が定義できないから	2	相関係数は線形関係のみを捉えるため、非線形な関係があっても0に近くなることがある。	s02_u01,相関係数,非線形	1	3	FALSE
相関係数を用いた判断として不適切なものはどれか。	関係の向きを判断する	線形関係の強さを比較する	因果関係の有無を断定する	外れ値の影響を考慮する	3	相関係数から因果関係の有無を断定することはできない。	s02_u01,相関,因果	1	3	FALSE
散布図を確認せず相関係数だけで判断する最大のリスクはどれか。	計算ミスが起こる	単位を誤解する	関係の形を見誤る	平均を誤解する	3	相関係数だけでは、非線形関係や外れ値、層別構造などを見落とす可能性がある。	s02_u01,散布図,相関係数	2	3	FALSE
